,evi,evi_origin
"Aspergillus_ochraceopetaliiformis_33185971:Aspergillus ochraceopetaliiformis
",3：血及无菌体液（如脓胸液）,"sputum cultures cultures in sputum cultures isolation of Aspergillus fumigatus in sputum cultures sputum repeated isolation of Aspergillus fumigatus in sputum cultures sputum cultures, Aspergillus fumigatus in sputum cultures s sputum cultures, repeatedly increased serum (1 3)-beta-d-glucan levels fumigatus in sputum cultures, the repeated isolation of Aspergillus fumigatus in sputum cultures probable IPA on the basis of the repeated isolation of Aspergillus fumigatus in sputum cultures sput sputum cultures, repeatedly increased serum sputum cultures, repeatedly increased serum (1 3)-beta-d-glucan isolation in sputum isolation of Aspergillus fumigatus in sputum cultures, repeatedly increased serum (1 3)-beta-d-glucan levels"
"Aspergillus_ochraceopetaliiformis_33210776:Aspergillus ochraceopetaliiformis
","4：气管镜活检组织培养出病原体,或者支气管肺泡灌洗液（BALF）定量培养>10**4",Bronchoalveolar lavage Bronchoalveolar lavage was performed in two patients with positive Aspergillus fumigatus cultures lavage B Bronchoalveolar lavage was performed cultures lavage was performed in two patients with positive Aspergillus fumigatus cultures Bronchoalveolar lavage was performed in two patients with positive Aspergillus fumigatus positive Aspergillus fumigatus cultures Bronchoalveolar lava Aspergillus fumigatus cultures Bronchoalveolar lavage was performed in two patients with positive Bronchoalveolar lavage was performed in two patients with positive Aspergillus fumigatus cultures and galactomannan performed in two patients with positive Aspergillus fumigatus cultures Bronchoalveolar lavage was Bronchoalveolar Bronchoalveolar lavage was performed in two patients with positive Aspergillus fumigatus cultures and fumigatus cultures two patients with positive Aspergillus fumigatus cultures lavage was performed
"Aspergillus_ochraceopetaliiformis_33217071:Aspergillus ochraceopetaliiformis
",none,"COVID-19-associated pulmonary aspergillosis pulmonary aspergillosis fungal infections seven patients with COVID-19-associated pulmonary aspergillosis associated pulmonary aspergillosis -associated pulmonary aspergillosis infections patients with COVID-19-associated pulmonary aspergillosis reemergent fungal infections pandemic continues to spread across the world, further reports are needed to assess the frequency of emergent and highly resistant reemergent fungal infections emergent and highly resistant reemergent fungal infections invasive fungal infections aspergillosis secondary fungal infections invasive fungal infections (IFIs) and describe possible associated risk factors opportunistic invasive aspergillosis Prevalence of opportunistic invasive aspergillosis immunosuppressive therapy as a risk factor for aspergillosis severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection COVID-19 immunosuppressive therapy as a risk factor for aspergillosis"
"Aspergillus_ochraceopetaliiformis_33217784:Aspergillus ochraceopetaliiformis
","4：气管镜活检组织培养出病原体,或者支气管肺泡灌洗液（BALF）定量培养>10**4",tracheal aspirates galactomannan in tracheal aspirates tracheal aspirates improved after using a cutoff of 2 OD. Although BAL testing t aspirates in tracheal aspirates tracheal aspirate (TA) samples tracheal aspi tracheal tracheal aspirates improved after using a cutoff of 2 OD. Although BAL TA GM-EIA and GM-LFA in TA tracheal aspirates improved after using a cutoff of 2 OD. Although BAL testing is the ideal test trachea tracheal as GM-EIA and GM-LFA tracheal aspirate tracheal aspirates improved after using a cutoff of 2 OD galactomannan galactomannan testing on tracheal aspirates
"Aspergillus_ochraceopetaliiformis_33230628:Aspergillus ochraceopetaliiformis
",5：气管吸出物或痰/BALF纯培养或优势培养出病原体,"oropharyngeal aspiration aspiration oropharyngeal aspiration performed prior to patient position change prevented the development of VAP oropharyngeal aspiration performed oropharyngeal aspiration performed prior to patient position change oropharyngeal oropharyngeal as or oropharyngeal aspiration performed prior to patient position oropharynge oropharyngeal aspiration under surgical aseptic conditions before each position change oropharyngeal aspiration performed prior to patient position change prevented the development oropharyngeal aspiration performed prior to patient position change prevented the development of VAP. our study, it was concluded that oropharyngeal aspiration aspiration performed prior to patient position change prevented the development of VAP oropharyngeal aspiration under surgical aseptic conditions oropharyngeal aspiration under surgical aseptic conditions before each position oropharyngeal aspiration under surgical aspiration performed aspiration performed prior to patient position change"
"Aspergillus_ochraceopetaliiformis_33277340:Aspergillus ochraceopetaliiformis
","4：气管镜活检组织培养出病原体,或者支气管肺泡灌洗液（BALF）定量培养>10**4","respiratory sample BAL fluid any respiratory sample fluid test from any respiratory sample sample bronchoalveolar lavage fluid test on BAL fluid Aspergillus test from any respiratory sample positive Aspergillus test on BAL fluid on BAL fluid from any respiratory sample Any positive Aspergillus test from any respiratory sample positive Aspergillus test from any respiratory sample bronchoalveolar lavage fluid (BAL test a positive Aspergillus test on BAL fluid Aspergillus test on BAL fluid Aspergillus test logistic regression analysis, the odds ratio, OR (95% CI) for a positive Aspergillus test on BAL fluid"
"Aspergillus_ochraceopetaliiformis_33284723:Aspergillus ochraceopetaliiformis
",none,"microbiological analysis analysis microbiological micro Fusarium was identified via microbiological analysis identified via microbiological analysis microbiological analysis, via microbiological analysis microbio After Fusarium was identified via microbiological analysis Fusarium was identified via microbiological analysis, was identified via microbiological analysis radiologic and histopathologic findings between these conditions. After Fusarium was identified via microbiological analysis microbiological analysis, the antifungal agent microbiological analysis, the antifungal agent was changed, and the patient microbiological analysis, the antifungal agent was changed, and the patient recovered fully histopathologic findings between these conditions. After Fusarium was identified via microbiological analysis Fusarium was identified via microbiological identified via microbiological Fusarium was identified via micro"
"Aspergillus_ochraceopetaliiformis_33333012:Aspergillus ochraceopetaliiformis
",none,"azole-resistant aspergillus airway epithelium COVID-19-associated pulmonary aspergillosis COVID-19-associated pulmonary aspergillosis caused by azole-resistant aspergillus aspergillosis. clinical research and up-to-date recommendations for clinical management of the diagnosis and treatment of COVID-19-associated pulmonary aspergillosis airway epithelium, enabling aspergillus invasion pulmonary aspergillosis clinical management of the diagnosis and treatment of COVID-19-associated pulmonary aspergillosis aspergillus associated pulmonary aspergillosis aspergillus invasion direct damage to the airway epithelium Severe acute respiratory syndrome coronavirus 2 causes direct damage to the airway epithelium medical mycology societies the airway epithelium airway epithelium, enabling aspergillus direct damage to the airway epithelium, enabling aspergillus invasion epithelium Severe acute respiratory syndrome coronavirus 2 causes direct damage to the airway epithelium, enabling aspergillus invasion"
"Aspergillus_ochraceopetaliiformis_33339526:Aspergillus ochraceopetaliiformis
",none,"VAP and invasive aspergillosis invasive aspergillosis aspergillosis VAP and MDR-VAP in C-ARDS than in NC-ARDS and a lower risk for invasive aspergillosis 90 C-ARDS and 82 NC-ARDS patients We assessed 90 C-ARDS and 82 NC-ARDS patients patients ICU admission C-ARDS than in NC-ARDS and a lower risk for invasive aspergillosis ICU admission, there were significantly fewer bacterial coinfections MDR-VAP in C-ARDS than in NC-ARDS and a lower risk for invasive aspergillosis bacterial coinfections putative aspergillosis 90 C-ARDS and 82 NC-ARDS patients, who were mechanically ventilated for more than 48 h. At ICU admission VAP in C-ARDS than in NC-ARDS and a lower risk for invasive aspergillosis RESULTS: We assessed 90 C-ARDS and 82 NC-ARDS patients NC-ARDS and a lower risk for invasive aspergillosis assessed 90 C-ARDS and 82 NC-ARDS patients patients, who were mechanically ventilated for more than 48 h. At ICU admission patients, who were mechanically ventilated for more than 48 h. At ICU admission, there were significantly fewer bacterial coinfections"
"Aspergillus_ochraceopetaliiformis_33375928:Aspergillus ochraceopetaliiformis
",none,high resolution computed tomography (HRCT) of the chest on admission showed diffuse miliary nodules high resolution computed tomography (HRCT high resolution computed tomography high resolution computed tomography (HRCT) high resolution computed tomography (HRCT) of the chest on admission high high resolution computed tomography (HRCT) of the chest diffuse miliary nodules high resolution computed tomo miliary nodules home isolation HRCT) of the chest on admission showed diffuse miliary nodules computed tomography (HRCT) of the chest on admission showed diffuse miliary nodules nodules allergic bronchopulmonary aspergillosis As high resolution computed tomography (HRCT) of the chest on admission showed diffuse miliary nodules chest on admission showed diffuse miliary nodules the chest on admission showed diffuse miliary nodules admission showed diffuse miliary nodules home isolation carry an increased risk of exposure to mold spores
"Aspergillus_ochraceopetaliiformis_33388572:Aspergillus ochraceopetaliiformis
",none,"ochraceopetaliiformisID:33388572TITLE:Invasive pulmonary aspergillosis opportunistic infections Invasive pulmonary aspergillosis pulmonary aspergillosis opportunistic infections when providing immune modulating therapy . aspergillosis opportunistic infections when providing immune modulating therapy. ochraceopetaliiformisID:33388572TITLE:Invasive pulmonary aspergillosis after treatment with tocilizumab in a patient with COVID-19 ARDS: a case report.ABSTRACT:Tocilizumab, pulmonary aspergillosis after treatment with tocilizumab in a patient with COVID-19 ARDS: a case report tocilizumab in a patient with COVID-19 ARDS: a case report ochraceopetaliiformisID:33388572TITLE:Invasive pulmonary aspergillosis after treatment with tocilizumab COVID-19 ARDS: a case report a case report aspergillosis after treatment with tocilizumab in a patient with COVID-19 ARDS: a case report opportunistic infections when providing immune modulating Invasive pulmonary aspergillosis after treatment with tocilizumab pulmonary aspergillosis after treatment with tocilizumab tocilizumab ochraceopetaliiformisID:33388572TITLE:Invasive pulmonary aspergillosis after treatment with tocilizumab in a patient with COVID-19 ARDS:"
"Aspergillus_ochraceopetaliiformis_33480831:Aspergillus ochraceopetaliiformis
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,"respiratory and serum sampling serum sampling respiratory and serum respiratory sampling serum respiratory and serum sampling performed mycological tests (culture, galactomannan, beta-glucan, PCR) performed on 475 respiratory samples respiratory and and serum sampling respiratory samples respiratory and serum sampling performed for specific screening of fungal complication serum sampling performed the study on patients with severe SARS-CoV2 related pneumonia admitted to 5 intensive care units in France, who had respiratory and serum sampling intensive care units in France, who had respiratory and serum sampling 5 intensive care units in France, who had respiratory and serum sampling had respiratory and serum sampling related pneumonia admitted to 5 intensive care units in France, who had respiratory and serum sampling respiratory samples and 532 sera mycological tests"
"Aspergillus_ochraceopetaliiformis_33500209:Aspergillus ochraceopetaliiformis
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,"DNA was found in serum and blood samples DNA serum and blood samples Galactomannan and Aspergillus DNA detection Galactomannan and Aspergillus DNA Aspergillus section Fumigati DNA was found in serum and blood samples Aspergillus section Fumigati DNA blood samples DNA detection serum with ratio >=0.5). In addition, Aspergillus section Fumigati DNA was found in serum and blood samples galactomannan tests on serum with ratio >=0.5). In addition, Aspergillus section Fumigati DNA Galactomannan DNA was found in serum serum with ratio >=0.5). In addition, Aspergillus section Fumigati DNA found in serum and blood samples Fumigati DNA was found in serum and blood samples Galactomannan and Aspergillus serum Gala detection"
"Aspergillus_ochraceopetaliiformis_33527098:Aspergillus ochraceopetaliiformis
",none,mold infection with Aspergillus fumigatus and Rhizopus microsporus Aspergillus fumigatus and Rhizopus microsporus Mixed mold infection with Aspergillus fumigatus and Rhizopus microsporus infection with Aspergillus fumigatus and Rhizopus microsporus Rhizopus microsporus mold infection Mixed mold infection infection mold infection with Aspergillus fumigatus microsporus fumigatus and Rhizopus microsporus Aspergillus fumigatus Mixed mold infection with Aspergillus fumigatus Aspergillus ochraceopetaliiformisID:33527098TITLE:Mixed mold infection infection with Aspergillus fumigatus fumigatus mold a Severe Acute Respiratory syndrome Coronavirus 2 (SARS-CoV-2) patient Severe Acute Respiratory syndrome Coronavirus 2 (SARS-CoV-2) patient Mixed mold
"Aspergillus_ochraceopetaliiformis_33539721:Aspergillus ochraceopetaliiformis
",none,"patient cultures cultures Aspergillus fumigatus was identified in 80.3% of patient cultures identified in 80.3% of patient cultures coronavirus disease diagnosis. Aspergillus fumigatus was identified in 80.3% of patient cultures of patient cultures fumigatus was identified in 80.3% of patient cultures Aspergillus fumigatus was identified in 80.3% of patient cultures, fumigatus was identified in 80.3% of patient cultures, 80.3% of patient cultures was identified in 80.3% of patient cultures patient Aspergillus fumigatus Aspergillus fumigatus was identified in 80.3% of patient identified in 80.3% of patient patient cultures, 4 of which were azole-resistant. Most (52.7%) patients received voriconazole cultures, 4 of which were azole-resistant. Most (52.7%) patients received voriconazole Aspergillus fumigatus was identified identified coronavirus disease diagnosis. Aspergillus fumigatus"
"Aspergillus_ochraceopetaliiformis_33569857:Aspergillus ochraceopetaliiformis
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,"PCR SARS-CoV-2 PCR 265 SARS-CoV-2 PCR environmental TR34 /L98H azole-resistant Aspergillus fumigatus isolates environmental TR34 /L98H azole-resistant Aspergillus fumigatus isolate PC single-center prospective case series prospective case series mechanically ventilated patients between the two waves, and whether it could be attributed to dexamethasone SARS-CoV-2 therapy a single-center prospective case series case series isolates isolate series CAPA cases therapy dual case series Here we describe a single-center prospective case series environmental TR34 /L98H azole-resistant Aspergillus fumigatus isolates in two separate patients environmental TR34 /L98H azole-resistant Aspergillus fumigatus"
"Aspergillus_ochraceopetaliiformis_33576014:Aspergillus ochraceopetaliiformis
",1：同时具备肺组织病理+病原学证据,"histopathological histopathological proven case of fatal COVID-19 associated pulmonary aspergillosis his histopathological proven case of fatal COVID-19 associated pulmonary aspergillosis (CAPA) histopathological proven histop histopath histopathological proven case of fatal COVID-19 associated pulmonary aspergillosis (CAPA histopathological proven case aspergillosis are increasingly reported. We present a histopathological a histopathological histopathological proven case of fatal COVID-19 associated pulmonary aspergillosis (CAPA), due to Aspergillus flavus. aspergillosis Aspergillus flavus proven case of fatal COVID-19 associated pulmonary aspergillosis (CAPA), due to Aspergillus flavus fatal COVID-19 associated pulmonary aspergillosis (CAPA), due to Aspergillus flavus aspergillosis are increasingly reported. We present a histopathological proven case of fatal COVID-19 associated pulmonary aspergillosis proven case of fatal COVID-19 associated pulmonary aspergillosis due to Aspergillus flavus fatal COVID-19 associated pulmonary aspergillosis"
"Aspergillus_ochraceopetaliiformis_33606324:Aspergillus ochraceopetaliiformis
","4：气管镜活检组织培养出病原体,或者支气管肺泡灌洗液（BALF）定量培养>10**4",PCR and or culture TA samples were collected twice a week for Aspergillus screening by PCR and or culture PCR TA samples TA samples were collected twice a week for Aspergillus screening by PCR culture tracheal aspirate screening by PCR and or culture PCR and or culture. PCR and or culture. Bronchoalveolar lavage (BAL) sampling or culture PC samples were collected twice a week for Aspergillus screening by PCR and or culture screening by PCR TA samples were collected twice a week for Aspergillus screening Aspergillus screening by PCR and or culture TA samples were collected twice a week for Aspergillus screening by PC samples samples were collected twice a week for Aspergillus screening by PCR culture and PCR on tracheal aspirate
"Aspergillus_ochraceopetaliiformis_33635372:Aspergillus ochraceopetaliiformis
",none,invasive mycosis: COVID-19-associated pulmonary aspergillosis COVID-19-associated pulmonary aspergillosis pulmonary aspergillosis invasive mycosis 33635372TITLE:[What is new ... in the treatment of invasive mycosis Aspergillus Aspergillus ochraceopetaliiformisID:33635372TITLE:[What is new ... invasive mycosis: COVID-19-associated pulmonary aspergillosis] invasive mycos Aspergillus ochraceopetaliiformisID:33635372TITLE: Aspergillus ochraceopetaliiformisID:33635372TITLE Aspergillus ochraceopetaliiformisID SPECIES:Aspergillus ochraceopetaliiformisID:33635372TITLE:[What is new ... invasive mycosis: COVID-19-associated pulmonary aspergill invasive mycosis: COVID-19-associated pulmonary aspergillosis].ABSTRACT ochraceopetaliiformisID:33635372TITLE: ochraceopetaliiformisID:33635372TITLE ochraceopetaliiformisID COVID-19-associated pulmonary aspergillosis]
"Aspergillus_ochraceopetaliiformis_33645461:Aspergillus ochraceopetaliiformis
","4：气管镜活检组织培养出病原体,或者支气管肺泡灌洗液（BALF）定量培养>10**4",bronchoalveolar lavage fluid bronchoalveolar lavage fluid br lavage fluid. on bronchoalveolar lavage fluid lavage fluid bronchoalveolar lava P. jirovecii was detected on bronchoalveolar lavage fluid detected on bronchoalveolar lavage fluid bronchoalveolar lavage fluid. bronchoalveolar new ground-glass opacities and P. jirovecii was detected on bronchoalveolar lavage fluid broncho lavage bronchoal was detected on bronchoalveolar lavage fluid the development of new ground-glass opacities and P. jirovecii was detected on bronchoalveolar lavage fluid on bronchoalveolar lavage P. jirovecii was detected on bronchoalveolar lavage
"Aspergillus_ochraceopetaliiformis_33662326:Aspergillus ochraceopetaliiformis
",none,COVID-19-associated pulmonary aspergillosis Diagnostic dilemma in COVID-19-associated pulmonary aspergillosis pulmonary aspergillosis aspergillosis.ABSTRACT: Aspergillus ochraceopetaliiformisID:33662326TITLE:Diagnostic dilemma COVID-19-associated pulmonary aspergill Diagnostic dilemma in COVID-19-associated pulmonary aspergill Aspergillus ochraceopetaliiformisID Aspergillus Diagnostic dilemma ochraceopetaliiformisID:33662326TITLE:Diagnostic dilemma pulmonary aspergill Aspergillus ochraceopetaliiformis ochraceopetaliiformisID COVID-19 COVID-19-associated pulmonary aspergillosis.ABSTRACT COVID-19-associated pulmonary asper SPECIES:Aspergillus ochraceopetaliiformisID Diagnostic dilemma in COVID-19 Diagnostic dilemma in COVID-19-associated pulmonary aspergillosis.ABSTRACT
"Aspergillus_ochraceopetaliiformis_33674201:Aspergillus ochraceopetaliiformis
",5：气管吸出物或痰/BALF纯培养或优势培养出病原体,"sputum cultured from sputum sputum. cultured culture cultured from sputum. from sputum s Aspergillus fumigatus was cultured from sputum cultured from s cultured from fumigatus was cultured from sputum. was cultured from sputum Aspergillus fumigatus was cultured Aspergillus fumigatus was culture sput fumigatus was cultured fumigatus was cultured from sputum and Aspergillus fumigatus was cultured from sputum lung, and Aspergillus fumigatus was cultured from sputum"
"Aspergillus_ochraceopetaliiformis_33684835:Aspergillus ochraceopetaliiformis
",5：气管吸出物或痰/BALF纯培养或优势培养出病原体,"Aspergillus ochraceus lower respiratory secretions ochraceus histopathological evidence Galactomannan test Galactomannan test, culture-positive, and histopathological evidence positive Galactomannan test Aspergillus Aspergillus species in lower respiratory secretions positive Galactomannan test, culture-positive, and histopathological evidence culture-positive, and histopathological evidence respiratory secretions histopathological the positive Galactomannan test the positive Galactomannan test, culture-positive, and histopathological evidence secretions species in lower respiratory secretions Galactomannan test, culture-positive, and histopathological positive Galactomannan test, culture-positive, and histopathological culture-positive, and histopathological"
"Aspergillus_ochraceopetaliiformis_33724423:Aspergillus ochraceopetaliiformis
","4：气管镜活检组织培养出病原体,或者支气管肺泡灌洗液（BALF）定量培养>10**4",bronchoalveolar lavage serum or bronchoalveolar lavage bronchoalveolar lavage galactomannan measurements serum serum or bronchoalveolar lavage galactomannan measurements bronchoalveolar lavage galactomannan br galactomannan measurements lavage serum or bronchoalveolar lavage galactomannan or bronchoalveolar lavage serum or br serum or bronchoalveolar lavage gal bronchoalveolar lava lavage galactomannan measurements. or bronchoalveolar lavage galactomannan measurements measurements galactomannan serum or bronchoalveolar lavage gal
"Aspergillus_ochraceopetaliiformis_33746045:Aspergillus ochraceopetaliiformis
",none,"antimicrobial stewardship program, quality diagnosis, and aggressive infection control measures may help prevent the occurrence of MDROs antimicrobials COVID-19 patients with a relatively low rate of co- or secondary infection MDROs antimicrobials according to the principles of antimicrobial stewardship program, quality diagnosis, and aggressive infection control measures quality diagnosis, and aggressive infection control measures may help prevent the occurrence of MDROs co- or secondary infection patients with a relatively low rate of co- or secondary infection secondary infection Appropriate prescription and optimized use of antimicrobials antimicrobial stewardship program, quality diagnosis, and aggressive infection control measures antimicrobials according to the principles of antimicrobial stewardship program, quality diagnosis co- or secondary infection. Appropriate prescription and optimized use of antimicrobials patients with a relatively low rate of co- or secondary infection. Appropriate prescription and optimized use of antimicrobials secondary infection. Appropriate prescription and optimized use of antimicrobials extended-spectrum beta-lactamases-producing Klebsiella pneumoniae antimicrobial antimicrobial stewardship program, quality diagnosis MDROs during this pandemic quality diagnosis, and aggressive infection control measures"
"Aspergillus_ochraceopetaliiformis_33760284:Aspergillus ochraceopetaliiformis
","4：气管镜活检组织培养出病原体,或者支气管肺泡灌洗液（BALF）定量培养>10**4","ill ill and discuss areas of further needed investigation ill and mycological diagnosis mycological mycological diagnosis of IA clinical specimens clinical specimens obtained clinical specimens obtained for establishing a mycological diagnosis IA in critically ill patients, most common definitions used to define IA in this population, and most common clinical specimens critically ill patients, most common definitions used to define IA in this population, and most common clinical specimens mycological diagnosis of IA in the critically ill IA in critically ill patients, most common definitions used to define IA in this population, and most common clinical specimens obtained clinical specimens obtained for establishing a mycological critically ill patients, most common definitions used to define IA in this population, and most common clinical specimens obtained mycological diagnosis of IA in the critically ill. We also review the most common diagnostic tests used to diagnose IA most common clinical specimens most common clinical specimens obtained IA in this population, and most common clinical specimens epidemiology of IA in critically ill patients, most common definitions used to define IA in this population, and most common clinical specimens"
"Aspergillus_ochraceopetaliiformis_33796902:Aspergillus ochraceopetaliiformis
",none,fistula formation bronchial necrosis secondary to radiotherapy that was treated with lung autotransplantation formation bronchial necrosis bronchial necrosis secondary to radiotherapy fistula formation. This technique seems to be a feasible option for locally advanced refractory bronchial necrosis fistula formation. fistula broad necrosis and infection of the right bronchus lung autotransplantation right bronchus infection of the right bronchus bronchus bronchial necrosis accompanied by infection with Aspergillus fumigatus formation. This technique seems to be a feasible option for locally advanced refractory bronchial necrosis right lung autotransplantation necrosis and infection of the right bronchus necrosis secondary to radiotherapy that was treated with lung autotransplantation bronchial necrosis secondary to radiotherapy that was treated with lung autotransplantation. bronchial anastomosis
"Aspergillus_ochraceopetaliiformis_33808931:Aspergillus ochraceopetaliiformis
",1：同时具备肺组织病理+病原学证据,positive culture of post-mortem lung biopsy positive culture post-mortem lung biopsy lung biopsy culture of post-mortem lung biopsy culture biopsy biopsy. positive culture of post-mortem lung bio positive post-mortem lung bio lung bio positive culture of post culture of post-mortem lung bio post mortem lung biopsy positive culture of post-mortem lung post-mortem lung culture of post lung
"Aspergillus_ochraceopetaliiformis_33810263:Aspergillus ochraceopetaliiformis
",none,"PCT PCT and CRP available levels PCT/CRP value PCT and CRP available levels on admission PCT and CRP available levels on admission were included, 1186 with primary viral pneumonia (PVP) and 422 with bacterial Co-infection PCT and CRP available PCT/CRP value at ICU admission was not associated with mortality in severe influenza pneumonia PC PCT/CRP PCT/CRP value at ICU admission PCT and CRP CRP value biomarkers have enough discriminatory power to be used for predicting the causative microorganism of the co-infection PCT/CRP value at ICU admission was not associated with mortality in severe influenza pneumonia. None of the biomarkers value single PCT/CRP value a single PCT/CRP value GNB. Conclusions: a single PCT/CRP value biomarkers have enough discriminatory power to be used for predicting the causative microorganism CRP value at ICU admission was not associated with mortality in severe influenza pneumonia"
"Aspergillus_ochraceopetaliiformis_33867266:Aspergillus ochraceopetaliiformis
",5：气管吸出物或痰/BALF纯培养或优势培养出病原体,tracheal aspirate cultured from the tracheal aspirate the tracheal aspirate cultured culture from the tracheal aspirate aspirate t Aspergillus fumigatus was cultured from the tracheal aspirate cultured from the t tracheal aspi fumigatus was cultured from the tracheal aspirate cultured from tracheal cultured from the tracheal aspi cultured from the cultured from the tracheal the t was cultured from the tracheal aspirate Aspergillus fumigatus was cultured
"Aspergillus_ochraceopetaliiformis_33891985:Aspergillus ochraceopetaliiformis
",3：血及无菌体液（如脓胸液）,"lower respiratory tract cultures respiratory specimens positive lower respiratory tract cultures cultures specimens microbiological data with direct or indirect detection of Aspergillus in respiratory specimens tract cultures respiratory tract cultures Aspergillus in respiratory specimens in respiratory specimens lower respiratory tract direct or indirect detection of Aspergillus in respiratory specimens . Aspergillus in respiratory specimens, lower respiratory tract cultures, other fungal biomarkers of BAL lower respiratory tract cultures, other fungal biomarkers of BAL and serum galactomannan indirect detection of Aspergillus in respiratory specimens detection of Aspergillus in respiratory specimens standardized diagnostic criteria that rely solely on microbiological data with direct or indirect detection of Aspergillus in respiratory specimens lower respiratory tract cultures, other fungal biomarkers"
"Aspergillus_ochraceopetaliiformis_33894873:Aspergillus ochraceopetaliiformis
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,DNA PCR amplification and sequencing DNA PCR amplification and sequencing from paraffin-embedded pulmonary artery tissue sections DNA PCR amplification paraffin-embedded pulmonary artery tissue sections DNA PCR PCR amplification and sequencing DNA PCR amplification and sequencing from paraffin-embedded pulmonary artery tissue DNA PCR amplification and sequencing from paraffin-embedded pulmonary artery tissue sections PCR amplification paraffin-embedded pulmonary artery tissue amplification and sequencing tissue sections amplification and sequencing from paraffin-embedded pulmonary artery tissue sections DNA PC DNA PCR amplification and sequencing from para sequencing sequencing from paraffin-embedded pulmonary artery tissue sections. amplification PCR amplification and sequencing from paraffin-embedded pulmonary artery tissue sections.
"Aspergillus_ochraceopetaliiformis_34009676:Aspergillus ochraceopetaliiformis
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,Mycological analysis analysis Mycological My Mycological analysis revealed infection PCR-positive swab Mycological analysis revealed infection with Mucor and Aspergillus species swab Mycological analysis revealed infection with Mucor and Aspergillus Mycological analysis revealed infection with Mucor and Aspergillus species in 77.8% and 30.6% of patients Mycological analysis revealed Mycological analysis revealed infection with Mycological analysis revealed infection with Mu associated disease was diabetes mellitus (27.8%). Mycological analysis PCR surgical debridement with antifungal medications except for two patients with PCR-positive swab analysis revealed infection PC analysis revealed infection with Mucor and Aspergillus species antifungal medications except for two patients with PCR-positive swab
"Aspergillus_ochraceopetaliiformis_34016284:Aspergillus ochraceopetaliiformis
",none,"Aspergillus species infection species COVID-19 infection Aspergillus Aspergillus species ranges from allergic syndromes to chronic pulmonary conditions and invasive infections Epidemiology, Diagnosis, and Treatment.ABSTRACT:The spectrum of disease produced by Aspergillus species Aspergillus species ranges from allergic syndromes to chronic pulmonary conditions and invasive infections. Invasive aspergillosis ABSTRACT:The spectrum of disease produced by Aspergillus species species ranges from allergic syndromes to chronic pulmonary conditions and invasive infections species ranges from allergic syndromes to chronic pulmonary conditions and invasive infections. Invasive aspergillosis allergic syndromes to chronic pulmonary conditions and invasive infections Epidemiology, Diagnosis, and Treatment.ABSTRACT:The spectrum of disease produced by Aspergillus chronic pulmonary conditions and invasive infections allergic syndromes to chronic pulmonary conditions and invasive infections. Invasive aspergillosis ABSTRACT:The spectrum of disease produced by Aspergillus Aspergillus species ranges from allergic syndromes to chronic pulmonary conditions and invasive infections. chronic pulmonary conditions and invasive infections. Invasive aspergillosis infection. Diagnosis remains a challenge but non-culture-based methods ABSTRACT:The spectrum of disease produced by Aspergillus species ranges from allergic syndromes to chronic pulmonary conditions and invasive infections"
"Aspergillus_ochraceopetaliiformis_34022619:Aspergillus ochraceopetaliiformis
",none,acute invasive rhinosinusitis Absidia mucor mucor acute invasive fungal rhinosinusitis AIFRS) in COVID-19 patients. METHODOLOGY: Data for acute invasive rhinosinusitis Otorhinolaryngology departments at our tertiary hospital COVID-19 patients. METHODOLOGY: Data for acute invasive rhinosinusitis METHODOLOGY: Data for acute invasive rhinosinusitis AIFRS Otorhinolaryngology Otorhinolaryngology departments rhinosinusitis acute invasive rhinosinusitis was obtained from the Otorhinolaryngology departments at our tertiary hospital acute invasive fungal rhinosinusitis (AIFRS) in COVID-19 patients and Absidia mucor acute invasive rhinosinusitis was obtained from the Otorhinolaryngology acute invasive fungal rhinosinus acute invasive rhinosinusitis was obtained from the Otorhinolaryngology departments innate immunity. The aim of this study is to evaluate the incidence of acute invasive fungal rhinosinusitis invasive fungal rhinosinusitis
"Aspergillus_ochraceopetaliiformis_34139578:Aspergillus ochraceopetaliiformis
",none,"fungal pneumonia in kidney transplant recipients fungal pneumonia kidney transplant recipients fungal pneumonia in kidney transplant fungal pneumonia in kidney transplant recipients including Pneumocystis, Aspergillus the main causes of fungal pneumonia in kidney transplant recipients fungal fungal pneumonia in kidney transplant recipients including Pneumocystis, Aspergillus, Cryptococcus main causes of fungal pneumonia in kidney transplant recipients pneumonia in kidney transplant recipients the main causes of fungal pneumonia main causes of fungal pneumonia Fungal pneumonia is a dreaded complication encountered after kidney transplantation kidney transplantation pneumonia This review will focus on the main causes of fungal pneumonia in kidney transplant recipients Fungal pneumonia in kidney transplant recipients.ABSTRACT:Fungal pneumonia is a dreaded complication encountered after kidney transplantation kidney transplant recipients.ABSTRACT:Fungal pneumonia is a dreaded complication encountered after kidney transplantation This review will focus on the main causes of fungal pneumonia ABSTRACT:Fungal pneumonia is a dreaded complication encountered after kidney transplantation"
