,gender,gender_origin
"Blastomyces_dermatitidis_30775340:Blastomyces dermatitidis
",none,patient healthy patient We report a case of mandibular blastomycosis in a healthy patient a healthy patient patient with no evidence of lung involvement. report a case of mandibular blastomycosis in a healthy patient in a healthy patient case of mandibular blastomycosis in a healthy patient patient with a case of mandibular blastomycosis in a healthy patient report: We report a case of mandibular blastomycosis in a healthy patient Case report: We report a case of mandibular blastomycosis in a healthy patient individuals patients with recurrent or persistent mandibular osteomyelitis even in immunocompetent individuals patients healthy immunocompetent individuals. recurrent or persistent mandibular osteomyelitis even in immunocompetent individuals in immunocompetent individuals individuals.
"Blastomyces_dermatitidis_31027465:Blastomyces dermatitidis
",none,patients three patients extracorporeal five consecutive patients two patients five extracorporeal life support can effectively provide prolonged support for patients on five consecutive patients three We report on five consecutive patients patients showed major five consecutive consecutive patients on five extracorporeal life support can effectively provide prolonged support on We report on five five consecutive patients admitted to Toronto General Hospital intensive patients showed major improvement patients showed
"Blastomyces_dermatitidis_31324667:Blastomyces dermatitidis
",男,man 43-year-old man year-old man old man -year-old man -old man A 43-year-old man man with man with history man with history of non-Hodgkins' lymphoma man with history of non-Hodgkins' lymphoma presented with unilateral eye :A 43-year-old man mass.ABSTRACT:A 43-year-old man 43 43-year-old 43-year 43- 43-year- 43-year-old man with A 43
"Blastomyces_dermatitidis_31414001:Blastomyces dermatitidis
",男,"males male and Asians and males and males patients 54.9 years, 55.0% male Asians and males removed (48.1 vs 56.7 years, P=0.008); and Asians and males mean age 54.9 years, 55.0% male subjects removed (48.1 vs 56.7 years, P=0.008); and Asians and males age 54.9 years, 55.0% male years, 55.0% male population: mean age 54.9 years, 55.0% male 48.1 vs 56.7 years, P=0.008); and Asians and males analysis. Results: Demographics for the BuAg-tested population: mean age 54.9 years, 55.0% male 578 patients patients were younger cases stemmed from the 2015 outbreak. BuAg-positive patients system from June 2013 to May 2016 were retrospectively reviewed to examine test characteristics and demographic features. Of these, 100 cases"
"Blastomyces_dermatitidis_31656442:Blastomyces dermatitidis
",none,patient We present the first reported case of disseminated blastomycosis in a patient a patient present the first reported case of disseminated blastomycosis in a patient patient with patient with coal in a patient reported case of disseminated blastomycosis in a patient case of disseminated blastomycosis in a patient patient with coalworkers' pneumoconiosis. patient with coalwork first reported case of disseminated blastomycosis in a patient We the first reported case of disseminated blastomycosis in a patient . We present the first reported case of disseminated blastomycosis in a patient We present We present the first reported case of disseminated blastomycosis in a We present the first reported case of disseminated blastomycosis in a patient with We present the first reported case of disseminated blastomycosis in a patient with coal a
"Blastomyces_dermatitidis_31896663:Blastomyces dermatitidis
",none,20 evaluated 20 20 cases re-evaluated 20 evaluated We re-evaluated 20 evaluated 20 cases cases re-evaluated re-evaluated 20 cases We re-evaluated We re-evaluated 20 cases re We re We 20 cases of blastomycosis diagnosed -evaluated 20 evaluated 20 cases of blastomycosis diagnosed cases of blastomycosis diagnosed 20 cases of blastomycosis
"Blastomyces_dermatitidis_31939939:Blastomyces dermatitidis
",none,". distinguishing features. describe its distinguishing features. features. individuals distinguishing features describe describe its distinguishing features patient features immunocompromised individuals individuals can be infected, but more severe disease individuals can be infected, but more severe disease occurs in the immunocompromised. Blastomycosis patient.ABSTRACT:Blastomycosis is a subacute or chronic deep patient.ABSTRACT:Blastomycosis is a subacute or chronic deep mycos patient.ABSTRACT:Blastomycosis is a subacute or chronic patient.ABSTRACT:Blastomycosis is a subacute or chronic deep mycosis Treatment Treatment course and duration patient.ABSTRACT:Blastomycosis"
"Blastomyces_dermatitidis_320285:Blastomyces dermatitidis
",none,older older children and young-adults older children older children and young- situations older children and older children and young those Among older certain situations children and young-adults adults children situations. be life-saving in certain situations certain -adults children and young- those with certain situations.
"Blastomyces_dermatitidis_32179889:Blastomyces dermatitidis
",none,"adult cases patients 106 cases 106 adult patients persons. METHODS: A retrospective study of adult adult patients with proven blastomycosis from 2004 total of 106 cases adult patients with proven blastomycosis from 2004 - persons of 106 cases adult patients with proven blastomycosis from 2004 - 2016 was conducted at the University of Wisconsin. Epidemiology, clinical features, and outcomes study of adult adult patients with proven blastomycosis from adult patients with proven blastomycosis from 2004 - 2016 was conducted retrospective study of adult adult patients with proven blastomycosis from 2004 - 2016 of adult persons. METHODS: A retrospective study of adult patients"
"Blastomyces_dermatitidis_32205801:Blastomyces dermatitidis
",none,"2 We review 2 review 2 We review We 2 pediatric cases review We review 2 pediatric cases 2 p 2 pediatric 2 pediatric cases that review 2 pediatric cases We review 2 p We review 2 pediatric We review 2 pediatric cases that pediatric cases cases review 2 p review 2 pediatric cases that initially presented with isolated orthopedic symptoms without documented fever or pulmonary complaints, although both had signs of pulmonary infection on imaging. These cases"
"Blastomyces_dermatitidis_32310071:Blastomyces dermatitidis
",none,"areas 671 cases 671 cases 67 total of 671 of 671 total of 671 cases cases and a total of 67 of 671 cases of 67 A total of 671 671 cases and a cases and A total of 671 cases 671 cases and A total of 67 all cases reported to public health officials during 1999-2018. We focused on time to diagnosis, exposure activities, and exposure location. A total of 67 evaluated all cases reported to public health officials during 1999-2018. We focused on time to diagnosis, exposure activities, and exposure location. A total"
"Blastomyces_dermatitidis_32337141:Blastomyces dermatitidis
",男,male 42-year-old African-American male We present an interesting case of a 42-year-old African-American male interesting case of a 42-year-old African-American male a 42-year-old African-American male old African-American male American male African-American male year-old African-American male -American male -year-old African-American male present an interesting case of a 42-year-old African-American male male with -old African-American male an interesting case of a 42-year-old African-American male case of a 42-year-old African-American male 42 42-year-old We present an interesting case of a 42 he
"Blastomyces_dermatitidis_32455114:Blastomyces dermatitidis
",none,patient healthy patient previously healthy patient We present a previously healthy patient present a previously healthy patient a previously healthy patient patient with report is to highlight the importance of the skin exam and tissue biopsy in the diagnosis of blastomycosis. We present a previously healthy patient patient with chronic pneumonia patient with chronic is to highlight the importance of the skin exam and tissue biopsy in the diagnosis of blastomycosis. We present a previously healthy patient case report is to highlight the importance of the skin exam and tissue biopsy in the diagnosis of blastomycosis. We present a previously healthy patient healthy previously healthy previously We present a previously healthy We present a previously We We present present a previously healthy
"Blastomyces_dermatitidis_32489864:Blastomyces dermatitidis
",女,female 48 year old female healthy 48 year old female we present a case of disseminated blastomycosis in a healthy 48 year old female a healthy 48 year old female year old female old female 48 healthy 48 healthy 48 year old 48 year we present a case of disseminated blastomycosis in a healthy 48 a healthy 48 healthy 48 year old healthy 48 year we present a case of disseminated blastomycosis in a healthy a healthy we we present a case of disseminated blastomycosis in a healthy 48 year old
"Blastomyces_dermatitidis_32571776:Blastomyces dermatitidis
",none,"140 140 blastomycosis cases cases of 140 140 blastomycosis cases were included in this study, with MCHS contributing 114 cases to the study and UWHC contributing 26 cases total of 140 140 blastomycosis cases were included in this study 140 blastomycosis cases were included in this 140 blastomycosis cases were included of 140 blastomycosis cases 140 blastomycosis cases were included in this study, with MCHS contributing 114 140 blastomycosis cases were included in 140 blastomycosis cases were total of 140 blastomycosis cases 140 blastomycosis cases were included in this study, with MCHS contributing 114 cases A total of 140 140 blastomycosis cases were included in this study, with MCHS contributing 114 cases to the study and UWHC contributing 26 2008 140 blastomycosis cases were included in this study, with MCHS contributing 114 cases to the study and UWHC contributing 26 cases"
"Blastomyces_dermatitidis_32629490:Blastomyces dermatitidis
",none,"we we discuss review, we this review, we , we goods, and a changing epidemiology as a result of global heating and anthropomorphic land utilization. In this review, we areas . In this review, we review, we discuss In this review, we review this review, we discuss discuss this review this , we discuss review, A Review.ABSTRACT:In endemic areas this review, goods"
"Blastomyces_dermatitidis_32649137:Blastomyces dermatitidis
",none,patient patient residing in Upstate New York with osseous and skin lesions and no pulmonary or constitutional symptoms. The patient We describe a case of biopsy-proven blastomycosis in a patient patient residing a patient describe a case of biopsy-proven blastomycosis in a patient a case of biopsy-proven blastomycosis in a patient patient residing in in a patient case of biopsy-proven blastomycosis in a patient patient residing in Upstate New York with osseous and skin lesions and no pulmonary or constitutional symptoms. The patient had patient residing in Upstate New York with osseous and skin lesions and no pulmonary or constitutional symptoms. patient residing in Upstate patient residing in Upstate New York with osseous and skin lesions and no pulmonary or constitutional symptoms. The residing in Upstate New York with osseous and skin lesions and no pulmonary or constitutional symptoms. The patient surgeon a patient residing in Upstate New York with osseous and skin lesions and no pulmonary or constitutional symptoms. The patient We describe a case of biopsy-proven blastomycosis in a patient residing residing a patient residing
"Blastomyces_dermatitidis_32652975:Blastomyces dermatitidis
",男,male male patient 24-years-old male years-old male old male -years-old male -old male A 24-years-old male male patient presented PRESENTATION: A 24-years-old male : A 24-years-old male young male patient 24-years-old male patient 24 years-old male patient 24-years old male patient -years-old male patient 24-years-old
"Blastomyces_dermatitidis_32656024:Blastomyces dermatitidis
",女,"patient pregnant patient women. We report here a rare case of disseminated blastomycosis to the thyroid in a pregnant patient We report here a rare case of disseminated blastomycosis to the thyroid in a pregnant patient here a rare case of disseminated blastomycosis to the thyroid in a pregnant patient report here a rare case of disseminated blastomycosis to the thyroid in a pregnant patient a pregnant patient patient. This case rare case of disseminated blastomycosis to the thyroid in a pregnant patient case of disseminated blastomycosis to the thyroid in a pregnant patient in a pregnant patient a rare case of disseminated blastomycosis to the thyroid in a pregnant patient patients, and pregnant women. We report here a rare case of disseminated blastomycosis to the thyroid in a pregnant patient pregnant women. We report here a rare case of disseminated blastomycosis to the thyroid in a pregnant patient patient. This case emphasizes the unique challenges of diagnosing and treating disseminated fungal infections in pregnancy. patient. This women pregnant women. We report here a rare case of disseminated blastomycosis to the thyroid in a pregnant pregnant patient. This case"
"Blastomyces_dermatitidis_32766820:Blastomyces dermatitidis
",none,". patients patients from 25 African countries and 12 patients 159 patients 159 patients from 25 African countries and 12 patients patients from 25 African countries and 12 patients from 5 Middle Eastern countries, and 7 reports of veterinary blastomycosis. In humans patients from 25 African countries and 12 patients from 5 Middle Eastern countries, and 7 reports patients from 25 25 African countries and 12 patients including 159 patients 159 patients from 5 Middle Eastern countries, and 7 reports of veterinary blastomycosis. In humans patients from 25 African countries and 12 patients from patients from 5 Middle Eastern countries, and 7 reports 159 patients from 25 African countries and 12 patients from 5 Middle Eastern countries, and 7 reports of veterinary blastomycosis. In humans patients from 25 African countries and 12 patients from 5 Middle Eastern countries, and 7 159 patients from 25 African countries and 12 patients from 5 Middle Eastern countries, and 7 reports including 159 patients from 25 African countries and 12 patients 159 patients from 25 patients from 25 African countries and"
"Blastomyces_dermatitidis_32831941:Blastomyces dermatitidis
",男,Males patients resided in a rural area along the Susquehanna River Basin. Only one case had a travel history to an endemic state. Males case had a travel history to an endemic state. Males All patients resided in a rural area along the Susquehanna River Basin. Only one case had a travel history to an endemic state. Males Males accounted patients one case had a travel history to an endemic state. Males identified. All patients resided in a rural area along the Susquehanna River Basin. Only one case had a travel history to an endemic state. Males resided in a rural area along the Susquehanna River Basin. Only one case had a travel history to an endemic state. Males patients resided in a rural area along the Susquehanna River Basin. Only one case cases of confirmed pulmonary blastomycosis were identified. All patients case All patients Eight cases of confirmed pulmonary blastomycosis were identified. All patients cases of confirmed pulmonary blastomycosis were identified. All patients resided in a rural area along the Susquehanna River Basin. Only one case all patients patients resided in a rural area along the Susquehanna River Basin. Only one case had a travel history to an endemic state. Males accounted patients diagnosed with culture-proven blastomycosis is reported at the Bassett Medical Center from 2007 to 2019. Eight cases patients resided identified. All patients
"Blastomyces_dermatitidis_32923279:Blastomyces dermatitidis
",none,"We We report We report a uncommon, it is important to understand the geographical distribution, presentation, diagnosis, and management of treating this condition. We We report a case uncommon uncommon, it is important to understand the geographical distribution, presentation, diagnosis, and management of treating this condition. We report report uncommon, it is important to understand the geographical distribution, presentation, diagnosis, and management of treating this condition. We report a important to understand the geographical distribution, presentation, diagnosis, and management of treating this condition. We report a uncommon, it is important to understand the geographical distribution, presentation, diagnosis, and management of treating this condition. We report a case a condition. We is important to understand the geographical distribution, presentation, diagnosis, and management of treating this condition. We report a case important to understand the geographical distribution, presentation, diagnosis, and management of treating this condition. We report , it is important to understand the geographical distribution, presentation, diagnosis, and management of treating this condition. We treating this condition. We a case"
"Blastomyces_dermatitidis_32963686:Blastomyces dermatitidis
",none,"patient Tunisian patient Tunisian patient aged We report the case of a Tunisian patient a Tunisian patient Tunisian patient aged case of a Tunisian patient report the case of a Tunisian patient We report the case of a Tunisian the case of a Tunisian patient a Tunisian study of a Tunisian patient case of a Tunisian This case study report the case of a Tunisian the case of a Tunisian which presents with a variety of clinical features, ranging from asymptomatic to rapidly fatal. We report the case of a Tunisian patient case study"
"Blastomyces_dermatitidis_33269079:Blastomyces dermatitidis
",none,patient 27-year-old pregnant patient pregnant patient 27 We present the case of a 27-year-old pregnant patient present the case of a 27-year-old pregnant patient year-old pregnant patient old pregnant patient case of a 27-year-old pregnant patient the case of a 27-year-old pregnant patient 27-year-old pregnant We present the case of a 27 -year-old pregnant patient -old pregnant patient a 27-year-old pregnant patient patient with pulmonary blastomycosis presenting with a lung mass present the case of a 27 pregnant 27-year 27-year-old
"Blastomyces_dermatitidis_33298609:Blastomyces dermatitidis
",none,NY patients NY patients NY patients. We identified B. dermatitidis as the predominant pathogen in 38 NY patients. We identified B. dermatitidis as the predominant pathogen in 38 cases patients. We identified B. dermatitidis as the predominant pathogen in 38 NY patients. We from NY patients NY patients. patients. We identified B. dermatitidis as the predominant pathogen in 38 cases from NY patients. We analysis of Blastomyces cultures (2005-2019) and primary clinical specimens from blastomycosis cases (2013-2019) from NY patients 2005-2019) and primary clinical specimens from blastomycosis cases (2013-2019) from NY patients cases (2013-2019) from NY patients analysis of Blastomyces cultures (2005-2019) and primary clinical specimens from blastomycosis cases (2013-2019) from NY patients. retrospective analysis of Blastomyces cultures (2005-2019) and primary clinical specimens from blastomycosis cases (2013-2019) from NY of Blastomyces cultures (2005-2019) and primary clinical specimens from blastomycosis cases (2013-2019) from NY patients 2005-2019) and primary clinical specimens from blastomycosis cases (2013-2019) from NY
"Blastomyces_dermatitidis_33563770:Blastomyces dermatitidis
",男,boy boy from a rural county in the southeastern United States was evaluated in the emergency department with fever and worsening toe pain in the absence of trauma. He 15-year-old boy Boy With Osteomyelitis.ABSTRACT:A previously healthy 15-year-old boy boy from previously healthy 15-year-old boy healthy 15-year-old boy boy from a rural county boy from a rural old boy -year-old boy year-old boy A previously healthy 15-year-old boy -old boy boy from a boy from a rural county in boy from a rural county in the southeastern United States 15-Year-Old Boy With Osteomyelitis.ABSTRACT:A previously healthy 15-year-old boy He 15
"Blastomyces_dermatitidis_33684979:Blastomyces dermatitidis
",男,"male Male , immunocompetent male young, immunocompetent male a young, immunocompetent male immunocompetent male. a case of Blastomyces osteomyelitis in a young, immunocompetent male , Immunocompetent Male Young, Immunocompetent Male a Young, Immunocompetent Male Male.ABSTRACT:Blastomyces is a fungus that is endemic to the Ohio and Mississippi River Valleys and Great Lakes region Immunocompetent Male.ABSTRACT:Blastomyces Male.ABSTRACT:Blastomyces is a fungus that is endemic to the Ohio Male.ABSTRACT:Blastomyces is a fungus that is endemic to the Ohio and in a Young, Immunocompetent Male , young, , immunocompetent a young, a case of Blastomyces osteomyelitis in a young,"
"Blastomyces_dermatitidis_33866867:Blastomyces dermatitidis
",男,male 27-year-old male patient was an immunocompetent 27-year-old male male with no significant preexisting health conditions. He an immunocompetent 27-year-old male year-old male old male was an immunocompetent 27-year-old male -year-old male The patient was an immunocompetent 27-year-old male -old male immunocompetent 27-year-old male male with no significant preexisting health conditions. He had significant work exposure to dust and soil otomastoiditis is exceedingly rare. The patient was an immunocompetent 27-year-old male 27 patient was an immunocompetent 27 patient 27-year-old male with no significant preexisting health conditions. He patient was an immunocompetent 27-year-old male with no significant preexisting health conditions. He He
"Blastomyces_dermatitidis_33990518:Blastomyces dermatitidis
",男,"male children, mean age was 12.9 years, with median time to diagnosis 38.5 days. About 72% were male 64 infected children, mean age was 12.9 years, with median time to diagnosis 38.5 days. About 72% were male infected children, mean age was 12.9 years, with median time to diagnosis 38.5 days. About 72% were male mean age was 12.9 years, with median time to diagnosis 38.5 days. About 72% were male About 72% were male 12.9 years, with median time to diagnosis 38.5 days. About 72% were male were male age was 12.9 years, with median time to diagnosis 38.5 days. About 72% were male was 12.9 years, with median time to diagnosis 38.5 days. About 72% were male % were male years, with median time to diagnosis 38.5 days. About 72% were male , mean age was 12.9 years, with median time to diagnosis 38.5 days. About 72% were male Of 64 infected children, mean age was 12.9 years, with median time to diagnosis 38.5 days. About 72% were male children 64 64 infected children infected children children, mean age was 12.9 years, with median time to diagnosis 38.5 days. About 64 infected"
"Blastomyces_dermatitidis_34016289:Blastomyces dermatitidis
",none,"cases individuals extrapulmonary manifestations is more common in immunosuppressed individuals. extrapulmonary cases to prevent progression or recurrence. all symptomatic cases symptomatic cases manifestations is more common in immunosuppressed individuals . Treatment should be provided to all symptomatic cases immunosuppressed individuals. extrapulmonary manifestations all symptomatic cases to prevent progression or recurrence. . symptomatic cases to prevent progression or recurrence. . Treatment should be provided to all symptomatic cases to prevent progression or recurrence. manifest areas areas adjacent to the Great Lakes and cases. It is considered hyperendemic in areas areas adjacent to the Great Lakes and along the St. Lawrence, Mississippi, and Ohio"
"Blastomyces_dermatitidis_34036653:Blastomyces dermatitidis
",none,. We We review We review the unmet needs of recently published guidelines and outline future areas of research We review the unmet needs of recently published guidelines treating physician. We physician. We We review the unmet needs of recently published guidelines and outline We review the unmet needs of recently published guidelines and outline future areas of research. We review the unmet needs of recently published guidelines and outline future areas A general understanding of common presenting manifestions and their lingering effects is of paramount importance to the treating physician. We . We We review the unmet needs of recently published guidelines and outline future areas of importance to the treating physician. We to the treating physician. We the treating physician. We review treating physician physician treating physician. We review
"Blastomyces_dermatitidis_34068825:Blastomyces dermatitidis
",none,We present a review We We present patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present a review patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We important in patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present a review patients patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present important in patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We review important in patients important in patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present present a review present We present a We present a review diagnostic testing for pulmonary infections due to endemic mycoses. important patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present a a review important in patients with suspected pulmonary infections who have failed to improve despite antibiotics in the appropriate setting. We present a
"Blastomyces_dermatitidis_34146378:Blastomyces dermatitidis
",男,"male male predominance (70% male male) and a median age of 59 at time of diagnosis. Regarding transplant type, 23 patients patients male predominance (70% male) and a median age of 59 at time of diagnosis. Regarding transplant type, 23 patients Nine patients male) and a median age of 59 at time of diagnosis. Regarding transplant type, 23 male) and a median age male) and a median age of 59 SOT recipients was 0.99%. There was a male predominance (70% male among SOT recipients was 0.99%. There was a male predominance (70% male predominance (70% male) patients (30 a male predominance (70% male 70% male was a male predominance (70% male % male male) recipients was 0.99%. There was a male predominance (70% male male predominance (70% male) and a median age of 59 at time of diagnosis. Regarding transplant type, 23"
"Blastomyces_dermatitidis_34458084:Blastomyces dermatitidis
",none,"our knowledge, this is only the second case of tracheal blastomycosis reported in the literature. this is only the second case of tracheal blastomycosis reported in the literature. this case presented as an unexpected diagnosis as part of a malignancy workup. . case of tracheal blastomycosis reported in the literature. our knowledge, this is only the second case . To our knowledge, this is only the second case of tracheal blastomycosis reported in the literature. this is only the second case our this case presented as an unexpected diagnosis as part of a malignancy workup. To our knowledge, this is only the second case case presented as an unexpected diagnosis as part of a malignancy workup. To our knowledge, this is only the second case of tracheal blastomycosis reported in the literature. our knowledge, this this case presented as an unexpected diagnosis as part of a malignancy workup. To case this case presented as an unexpected diagnosis as part of a malignancy workup. To our this . To our knowledge, this is only the second case . To . To our"
"Blastomyces_dermatitidis_34540497:Blastomyces dermatitidis
",女,"female 50-year-old female we report the case of a 50-year-old female year-old female old female -year-old female a 50-year-old female -old female case of a 50-year-old female report the case of a 50-year-old female the case of a 50-year-old female Here, we report the case of a 50-year-old female , we report the case of a 50-year-old female female with female with a localized left female with a localized left breast growth . Here, we report the case of a 50-year-old female 50 50-year 50-year-old"
"Blastomyces_dermatitidis_34603804:Blastomyces dermatitidis
",none,patient We report a patient a patient report a patient We patient with a history patient with a history of alcohol abuse We report a patient with We report patient with a history of alcohol patient with a a patient with a history of report a We report a patient with a history We report a patient with a history of alcohol abuse We report a patient with report patient with a history of alcohol abuse and recent exposure to mice and sick kittens who
"Blastomyces_dermatitidis_34670643:Blastomyces dermatitidis
",none,"patients 185 patients 185 patients, Among 185 patients increases Quebec deaths. Among 185 patients Quebec over the past 30 years, partially explained by the higher number of immunosuppressed patients increased in Quebec patients with blastomycosis in 1988-2016. The primary outcome was 90-day all-cause deaths. Among 185 patients was 90-day all-cause deaths. Among 185 patients increased in Quebec over the past 30 years, partially explained by the higher number of immunosuppressed patients 185 patients, 90-day all-cause deaths. Among 185 patients We noted increases died. We noted increases 1988-2016. The primary outcome was 90-day all-cause deaths. Among 185 patients Quebec over outcome was 90-day all-cause deaths. Among 185 patients"
"Blastomyces_dermatitidis_34673714:Blastomyces dermatitidis
",女,female 13-year-old female a 13-year-old female We describe the case of a 13-year-old female old female describe the case of a 13-year-old female year-old female -year-old female case of a 13-year-old female female with the case of a 13-year-old female -old female female with homozygous sickle cell disease who presented with pneumonia and acute chest syndrome and was found to have pulmonary blastomycosis. female with homozygous sickle cell disease who of a 13-year-old female 13 13-year-old 13-year a 13 We describe the case of a 13
"Blastomyces_dermatitidis_34829177:Blastomyces dermatitidis
",男,"blastomycosis. blastomycosis. Mean age was 51 years (range, 6-84). Most subjects were male male blastomycosis. Mean age was 51 years (range, 6-84). Most subjects subjects were male blastomycosis. Mean age blastomycosis. Mean age was 51 subjects patients diagnosed with blastomycosis at all Mayo Clinic sites 51 years (range, 6-84). Most subjects were male patients diagnosed with blastomycosis at all Mayo Clinic sites from 1 January 2004 through 31 March 2020 Most subjects were male was 51 years (range, 6-84). Most subjects were male age was 51 years (range, 6-84). Most subjects were male patients blastomycosis. Mean age was blastomycosis. Mean age was 51 years (range, 6-84). blastomycosis. Mean age was 51 years (range, 6-84). Most Mean age was 51 years (range, 6-84). Most subjects were male blastomycosis. Mean"
"Blastomyces_dermatitidis_34874582:Blastomyces dermatitidis
",none,patients 76 patients patients were identified patients were identified; 22 of 76 patients total of 76 patients identified patients were identified; patients were 76 A total of 76 patients 76 patients were identified identified; 22 2019. Logistic regression was used to identify variables associated with severe blastomycosis. RESULTS: A total of 76 2019 of 76 76 patients were identified; 22 patients admitted with blastomycosis at the University of Kentucky Hospital from 2004-2019 of 76 patients were identified total of 76
"Blastomyces_dermatitidis_34888690:Blastomyces dermatitidis
",none,patient We herein report an uncommon case of B. dermatitidis causing invasive fungal sinusitis in a patient a patient patient with well-controlled type 2 diabetes mellitus in the absence of conventional higher-risk environmental exposures. This case report an uncommon case of B. dermatitidis causing invasive fungal sinusitis in a patient We herein herein report an uncommon case of B. dermatitidis causing invasive fungal sinusitis in a patient herein patient with well-controlled type 2 diabetes mellitus in the absence of conventional higher-risk environmental exposures. This individuals. We herein report an uncommon case of B. dermatitidis causing invasive fungal sinusitis in a patient We an uncommon case of B. dermatitidis causing invasive fungal sinusitis in a patient We herein report a patient with well-controlled type 2 diabetes mellitus in the absence of conventional higher-risk environmental exposures. This case patient with well-controlled type 2 diabetes mellitus in the absence of conventional higher-risk environmental exposures. This case highlights case of B. dermatitidis causing invasive fungal sinusitis in a patient patient with well-controlled type 2 diabetes mellitus in the absence of conventional higher-risk environmental exposures. individuals. We herein patient with We herein report an uncommon case of B. dermatitidis causing invasive fungal sinusitis in a
"Blastomyces_dermatitidis_34969112:Blastomyces dermatitidis
",none,"This review highlights This patient This review highlights review highlights patient populations This review highlights emerging fungal infections review certain patient certain patient populations patient populations, including highlights emerging fungal infections patient populations, including those review highlights emerging fungal infections populations This review highlights emerging fungal certain patient populations, including This review highlights emerging patient populations,"
"Blastomyces_dermatitidis_610419:Blastomyces dermatitidis
",女,"woman 47-year-old woman year-old woman woman presented with cough, pleuritic chest pain and fever of three weeks duration. Although the patient old woman -year-old woman -old woman A 47-year-old woman woman presented with cough, pleuritic chest pain and fever of three weeks duration. Although the patient lived in an area blastomycosis.ABSTRACT:A 47-year-old woman woman presented with cough, pleuritic chest pain and fever of three weeks duration. Although the patient lived :A 47-year-old woman woman presented 47 47-year 47-year-old woman presented with cough, pleuritic chest pain and fever of three weeks duration. Although the patient 47-year-old 47- 47-year- A 47"
"Blastomyces_dermatitidis_6984622:Blastomyces dermatitidis
",none,outdoor outdoor labor outdoor laborer labor laborer 49-year-old outdoor 49-year-old outdoor labor 49-year-old outdoor laborer 49 old outdoor year-old outdoor -old outdoor -year-old outdoor old outdoor labor old outdoor laborer year-old outdoor labor -old outdoor labor A 49-year-old outdoor -year-old outdoor labor year-old outdoor laborer
"Blastomyces_dermatitidis_792:Blastomyces dermatitidis
",none,"discussing In In discussing discussing current concepts of treatment, several well-known methods are emphasized, as well as newer developments, knowledge of which is essential for optimal treatment of pneumonia discussing current concepts of treatment, several well-known methods are emphasized, as well as newer developments, knowledge of which is essential for optimal treatment discussing current concepts of treatment, several well-known methods In discussing current concepts of treatment, several well-known methods are emphasized, as well as newer developments, knowledge of which is essential for optimal treatment In discussing current concepts of treatment, several well-known methods treatment of pneumonia treatment pneumonia treatment of pneumonia. methods are emphasized, as well as newer developments, knowledge of which is essential for optimal treatment of pneumonia methods are emphasized, as well as newer developments, knowledge of which is essential for optimal treatment current concepts of treatment, several well-known methods are emphasized, as well as newer developments, knowledge of which is essential for optimal treatment of pneumonia current concepts of treatment, several well-known methods are emphasized, as well as newer developments, knowledge of which is essential for optimal treatment methods pneumonia. current concepts of treatment, several well-known methods methods are emphasized, as well as newer developments, knowledge of which is essential for optimal treatment of pneumonia."
"Blastomyces_dermatitidis_8413389:Blastomyces dermatitidis
",none,"patients function 10 patients patients with this condition who were treated at one center in Wisconsin. RESULTS: All 10 patients patients, large numbers of broad-based budding yeasts were seen on microscopical examination of tracheal secretions. All patients survivors one center in Wisconsin. RESULTS: All 10 patients We describe 10 patients with this condition who were treated at one center in Wisconsin. RESULTS: All 10 patients 10 patients with this condition who were treated at one center in Wisconsin. RESULTS: All 10 patients All 10 patients 10 center in Wisconsin. RESULTS: All 10 patients describe 10 patients with this condition who were treated at one center in Wisconsin. RESULTS: All 10 patients Wisconsin. RESULTS: All 10 patients treated at one center in Wisconsin. RESULTS: All 10 patients the patients three survivors We describe 10 patients patients with this condition who were treated at one center in Wisconsin. RESULTS: All 10 at one center in Wisconsin. RESULTS: All 10 patients"
"Blastomyces_dermatitidis_8672047:Blastomyces dermatitidis
",none,recipient European renal transplant recipient a European renal transplant recipient renal transplant recipient transplant recipient renal transplant recipient.ABSTRACT: European a European a European renal transplant European re a European renal transplant a European re renal transplant re transplant
"Blastomyces_dermatitidis_8722836:Blastomyces dermatitidis
",none,". host heavy inoculum of Histoplasma capsulatum may cause acute pulmonary infection in an otherwise healthy host tissue . A heavy inoculum of Histoplasma capsulatum may cause acute pulmonary infection in an otherwise healthy host an otherwise healthy host host, resulting in fever, hypoxia, and pulmonary infiltrates. Opportunistic histoplasmosis develops A heavy inoculum of Histoplasma capsulatum may cause acute pulmonary infection in an otherwise healthy host both is best made by visualization of yeast in tissue develops host, resulting in fever, hypoxia, and pulmonary infiltrates. Opportunistic histoplasmosis in tissue , from subclinical infection to progressive disseminated disease. Diagnosis of both is best made by visualization of yeast in tissue cases of life-threatening infection tissue or by culture. Itraconazole is the drug both infection best made by visualization of yeast in tissue made by visualization of yeast in tissue disease. Diagnosis of both is best made by visualization of yeast in tissue"
