,immu,immu_origin
"Candida_glabrata_28384860:Candida glabrata
",抑制,Immunodeficiency Virus (HIV) reactive Immunodeficiency Virus (HIV Immunodeficiency HIV/AIDS Immunodeficiency Virus (HIV) reactive patients HIV) reactive Immunodeficiency Virus HIV HIV) reactive patients Human Immunodeficiency Virus (HIV) reactive I HIV reactive Human Immunodeficiency Virus (HIV Human Immunodeficiency Human Immunodeficiency Virus (HIV) reactive patients HIV/AIDS Patients Immunodeficiency V reactive Human Immunodeficiency Virus AIDS
"Candida_glabrata_28680340:Candida glabrata
",抑制,"immunosuppression hematological malignancies immunosuppress immunosuppression after hematopoietic stem cell transplantation malignancies refractory Hodgkin disease refractory hematological maligna hematological ma hem hematological lymphoma immunosuppression after hematopoietic stem cell transplantation (HSCT im re Hodgkin lymphoma refractory Hodgkin disease, focusing on infectious complication after subsequent lines of chemotherapy acute myeloid leukemia profound immunosuppression refractory Hodgkin disease,"
"Candida_glabrata_28762125:Candida glabrata
",抑制,"enabling enabling an adequate prevention, diagnosis and treatment. hope of therapeutic alternatives to existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to enabling fibrosis . Fibrosis.ABSTRACT:Cystic fibrosis existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to enabling Fibrosis.ABSTRACT:Cystic hope of therapeutic alternatives to existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to the hope of therapeutic alternatives to existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to enabling Cystic fibrosis hope existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to enabling an adequate prevention, diagnosis and treatment. Cystic Fibrosis.ABSTRACT:Cystic fibrosis CF Cystic Fibrosis enabling an adequate existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to Fibrosis the hope of therapeutic alternatives to existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to"
"Candida_glabrata_28936955:Candida glabrata
",none,"incentives incentives. We should strengthen the rational use of antibiotics. 7 497 patients with respiratory tract infection 7 497 patients showed an upward trend year by year. Fungal infection rate cannot be ignored, and we must pay attention to fungal infection incentives and we must pay attention to fungal infection incentives infection cannot be ignored, and we must pay attention to fungal infection incentives patients with respiratory tract infection incentives. We should strengthen incentives. We total of 7 497 patients with respiratory tract infection patients advantages total of 7 497 patients . A total of 7 497 patients with respiratory tract infection 7 497 patients with respiratory tract infection were enrolled in the study, and 11 909 strains of 13 kinds of dominant pathogens were isolated. 7 497 RESULTS: A total of 7 497 patients with respiratory tract infection"
"Candida_glabrata_29062248:Candida glabrata
",none,"clinic . our clinic patients In our clinic . CONCLUSIONS: In our clinic patients diagnosed as having invasive candidiasis between December 2012 and June 2016 were included. patients diagnosed as having considerably high. patients diagnosed as having invasive candidiasis between December 2012 and June 2016 were included. Clinical and laboratory data were retrospectively analyzed. patients diagnosed as having invasive candidiasis between CONCLUSIONS: In our clinic, diagnosed as having invasive candidiasis between December 2012 and June 2016 were included. diagnosed as having patients diagnosed as having invasive candidiasis between December 2012 and June 2016 were included. Clinical and laboratory data were retrospectively analyzed having invasive candidiasis between December 2012 and June 2016 were included. patients diagnosed as having invasive candidiasis between December 2012 and CONCLUSIONS: In our clinic the patients patients diagnosed"
"Candida_glabrata_30116379:Candida glabrata
",none,"88 . 88 patients with clinically suspected intracranial infection 88 patients with clinically suspected intracranial 88 patients 88 patients with clinically suspected intracranial infection and standard 88 patients with clinically suspected intracranial infection and standard strains were used 88 patients with clinically suspected intracranial infection and standard strains were used to evaluate the chips results demonstrated that the sensitivity, specificity and false-positive rate of the microarray assay compared with standard strains were used to evaluate the chips. The same samples were also analyzed by culture and sequencing. The results results with compared with demonstrated that the sensitivity, specificity and false-positive rate of the microarray assay compared with that the sensitivity, specificity and false-positive rate of the microarray assay compared with standard , specificity and false-positive rate of the microarray assay compared with same samples were also analyzed by culture and sequencing. The results the sensitivity, specificity and false-positive rate of the microarray assay compared with standard strains were used to evaluate the chips. The same samples were also analyzed by culture and sequencing. The results demonstrated that"
"Candida_glabrata_30240817:Candida glabrata
",none,renal transplant recipients renal transplant transplant recipients recipients re renal transplant recipients (RTR transplant renal transplant recipients. renal transplant recipients (R renal renal transplant recipients: Species distribution and susceptibility profiles.ABSTRACT:Candidiasis is a major challenge among re RTR renal transplant recipients: recipients: Species distribution and susceptibility profiles.ABSTRACT:Candidiasis is a major challenge among renal transplant recipients R recipients (RTR (RTRs) transplant recipients: Species distribution and susceptibility profiles.ABSTRACT:Candidiasis is a major challenge among renal transplant transplant recipients (RTR 126) renal transplant recipients
"Candida_glabrata_30392321:Candida glabrata
",none,"L LOS LOS (P&lt;0.05) compared with those rates in EOS LOS (P&lt;0.05) compared with LOS (P&lt LOS (P&lt; LOS (P&lt;0.05) compared with those rates LOS (P&lt;0.05) compared with those rates in E LOS (P&lt;0.05) compared with those LOS (P&lt;0 425 , to from 2010 to increased in L from EOS preterm, low birth weight and cesarean section , low premature delivery (78.70%, n=218),"
"Candida_glabrata_31275675:Candida glabrata
",抑制,"immunosuppressed immunosuppressed patient im immunosuppressed patient with pneumonia immunosuppression immunosup patient immunosuppressed patient with immunos immunosuppress immunosuppressed patient with pneumonia. immu patient with pneumonia pneumonia patient with immunosuppression and immunosuppression and antimicrobial usage patient with pneumonia. immunosuppression and antimicrobial usage, emerging infectious agents have been isolated in patients with pneumonia. significant advancements in medicine. With the increase in immunosuppression"
"Candida_glabrata_31516828:Candida glabrata
",抑制,"immunocompromised immunocompromised patient immunocompromised patients, such as those receiving long-term immunomodulatory im immunocompromised patients, such as those receiving long-term immunomodulatory therapy immunocompromised patients, such as those receiving long-term immunomodulator immunomodulatory immunocompromised patients immunomodulatory therapy immunocompromised patients, such as those receiving long-term immunomodulatory therapy or corticosteroids immunocompromised patients, such as those receiving long-term im immunomodulator immunocompromised patients, such as those receiving immunocompromised patients, such as those receiving long immunocompromised patients, such as those receiving long-term immunocompromised patients, such as those receiving long-term immunomodu immunocompromised patients, such as those receiving long-term immunomodulatory therapy or immunomodulatory therapy or corticosteroids immunocompromised patients, such as those receiving long-term immunomo immunocompromised patients, such as those receiving long-term immunomodulatory therapy or co"
"Candida_glabrata_31536801:Candida glabrata
",none,Research Institute Institute This study was conducted at Chettinad Hospital and Research Institute at Chettinad Hospital and Research Institute Research Chettinad Hospital and Research Institute. and Research Institute This study was conducted at Chettinad Hospital and Research at Chettinad Hospital and Research This study was conducted at Chettina Chettinad Hospital and Research Institute at Chettina This study was conducted at Chettinad was conducted at Chettinad Hospital and Research Institute This study was conducted at Chettinad Hospital and conducted at Chettinad Hospital and Research Institute Chettinad Hospital and Research at Chettinad This study was conducted at Chetti at Chettinad Hospital and
"Candida_glabrata_32164551:Candida glabrata
",抑制,immunosuppressed immunosuppressed patients im immunosup immunos immunosuppressed patients (Hogardt immu immunosuppressed patients (Hogard patient with pulmonary infection infection pulmonary infection patients patient in immunosuppressed with pulmonary infection patient with pulmonary pulmonary 38 patient with intensive
"Candida_glabrata_32535876:Candida glabrata
",none,Austria Austria of COVID-19 with ARDS.ABSTRACT:We report the successful management of a patient intensive Austria of COVID-19 with ARDS.ABSTRACT:We report the successful management of a Austria of COVID-19 with ARDS.ABSTRACT:We report the successful management of a patient with severe respiratory failure intensive care unit Austria of COVID-19 with ARDS.ABSTRACT:We report the successful Austria of COVID-19 with ARDS.ABSTRACT:We report the successful management of a patient with Austria of COVID-19 with ARDS.ABSTRACT:We report the intensive care an intensive intensive care unit complicated by secondary catheter-related infection of Candida glabrata. intensive care unit complicated by secondary catheter-related infection of Candida glabrata. We are an intensive care unit patient with severe respiratory failure due to COVID-19 admitted to an intensive a patient with severe respiratory failure due to COVID-19 admitted to an intensive infectiousness severe respiratory failure due to COVID-19 admitted to an intensive infectious an intensive care
"Candida_glabrata_32724755:Candida glabrata
",抑制,immunocompromised immunocompromised patients im patients immunocompromised patients. immunocomp immunocom immuno immu immunocomprom the immunocompromised recent acute pancreatitis in the immunocompromised recent the immunocompromised patients acute pancreatitis gentleman with recent acute pancreatitis gentleman with recent 45-year-old gentleman with recent acute pancreatitis 45-year-old gentleman with recent
"Candida_glabrata_33746045:Candida glabrata
",none,"2019 quality diagnosis, and aggressive infection control measures may help prevent the occurrence of MDROs during this pandemic. quality . quality diagnosis, and aggressive infection control measures may quality diagnosis, and aggressive infection control measures may help to the current status of the coronavirus disease 2019 damage to the current status of the coronavirus disease 2019 this pandemic. may help prevent the occurrence of MDROs during this pandemic. quality diagnosis, and poses collateral damage to the current status of the coronavirus disease 2019 current status of the coronavirus disease 2019 2019 (COVID-19) pandemic. There has may 2019 (COVID-19) pandemic. There 19 patients with a relatively low rate of co- or secondary infection. Appropriate prescription and an increase in the incidence of antimicrobial resistance poses collateral damage to the current status of the coronavirus disease 2019 19 to"
"Candida_glabrata_33889656:Candida glabrata
",none,62 62 years; 68% men men years; 68% men 62 years years ; 68% men % men intensive care unit intensive care unit residents 62 years; 68% men) men) 62 years; men). Sixty-five percent of patients underwent surgery or an invasive intervention of the thorax or abdomen within the preceding 90 68% men 62 years; 68% . intensive years; 68% men) years; 68% men). Sixty-five percent of patients underwent surgery or an invasive intervention of the thorax or abdomen within the preceding 90
"Candida_glabrata_34159054:Candida glabrata
",none,acquired immune dysfunction acquired dysfunction acquired immune d immune dysfunction acquired immune dys acquired immune d immune d dys immune dys immune acquired immune dysfunction can be risk factors for candidemia. long-term presence of foreign bodies and acquired immune dysfunction . This case indicates that long-term presence of foreign bodies and acquired immune dysfunction dysfunction can be risk factors for candidemia. term presence of foreign bodies and acquired immune dysfunction immune dysfunction can be risk factors for candidemia. long-term presence of foreign bodies and acquired long-term presence of foreign bodies and acquired immune d
"Candida_glabrata_34218811:Candida glabrata
",none,154 consecutive CAP patients patients CAP patients chronic consecutive CAP patients who chronically aspirate 154 consecutive aspirate. patients who chronically aspirate 154 chronically aspirate chronic aspiration from 6 of 154 consecutive CAP patients consecutive patients with chronic . RESULTS: Sputum from 6 of 154 consecutive CAP patients aspirate chronic as RESULTS: Sputum from 6 of 154 consecutive CAP patients of 154 consecutive CAP patients
"Candida_glabrata_34428666:Candida glabrata
",none,"elderly males with significant comorbidities elderly significant comorbidities males with significant comorbidities comorbidities, ICU. Patients were mostly elderly males with significant comorbidities elderly males comorbidities with significant comorbidities ICU. Patients were mostly elderly elderly males with significant patient-days at ICU. Patients were mostly elderly males with significant comorbidities elderly males with mostly elderly males with significant comorbidities adults males elderly males with significant comorbidities, ICU. Patients were mostly elderly males patient-days at ICU. Patients were mostly elderly significant"
"Candida_glabrata_34660487:Candida glabrata
",none,"needing needing interventions lower risks of combined outcomes (one or more complications, such as BPD, ROP needing very premature infants (113 in the prophylaxis group and very premature infants. Methods: We performed a retrospective historical comparative analysis of 196 196 very very premature infants (113 in the prophylaxis group and 83 very premature infants (113 very premature infants (113 in the prophylaxis group and 83 in the rescue very premature infants. Methods: We performed a retrospective historical interventions ROP needing needing interventions, very premature infants. Methods: We performed a retrospective historical comparative analysis of 196 very premature infants (113 in the prophylaxis group and 196 very premature infants (113 in the prophylaxis group and very premature infants (113 in the prophylaxis group and 83 in the rescue group) such as BPD, ROP needing very premature infants (113 in the prophylaxis very premature"
"Candida_glabrata_34685374:Candida glabrata
",none,"Stradins broader European context. We therefore conducted a retrospective analysis of laboratory data (2017-2020) from Pauls Stradins from Pauls Stradins Stradins Clinical University Hospital (PSCUH), Riga, conducted a retrospective analysis of laboratory data (2017-2020) from Pauls Stradins Stradins Clinical We therefore conducted a retrospective analysis of laboratory data (2017-2020) from Pauls Stradins Stradins Clinical University Hospital (PSCUH), Pauls Stradins PSCUH), Riga European context. We therefore conducted a retrospective analysis of laboratory data (2017-2020) from Pauls Stradins PS Stradins Clinical University Hospital (PSCUH), Riga, Latvia, PSCU Stradins Clinical University Hospital (PSCUH), Riga, Latvia, which is one of the largest public PSCUH Clinical University Hospital (PSCUH), Riga Stradins Clinical University Hospital (PSCUH), Riga, Latvia, which Stradins Clinical University Hospital (PSCUH), Riga, Latvia, which is one of the largest public multispecialty hospitals in Latvia. PSCUH), Riga, Latvia"
"Candida_glabrata_3472265:Candida glabrata
",抑制,immunosuppressed immunosuppressed patients immunosuppressed and therapy-induced granulocytopenic and thrombocytopenic patients with acute leukemia acute leukemia immunosuppressed and therapy immunosuppressed and therapy-induced granulocytopenic and thrombocytopenic patients with acute immunosuppressed and therapy-induced granulocytopenic and thrombocytopenic antineoplastic chemotherapy because of acute leukemia acute antineoplastic chemotherapy antineoplastic chemotherapy because of acute im immunosuppressed and therapy-induced immunosuppressed and therapy-induced granulocytopenic immunosuppressed and therapy-induced granulocytopenic and thrombocytopenic patients leukemia antineoplastic acute le anti immunosuppressed and therapy-induced granulocytopenic and thrombocytopenic patients with acute le
"Candida_glabrata_34853695:Candida glabrata
",none,diabetic di diabe diabetic male diabetic male who was referred from another diabetic male who was referred from another hospital old diabetic year-old diabetic -year-old diabetic diabetic male who diabetic male who was referred from another hospital and presented with a history -old diabetic diabetic male who was referred from another hospital and presented with a diabetic male who was referred from another hospital and diabetic male who was referred from diabetic male who was referred from another hospital and presented with a history of low-grade fever diabetic male who was referred diabetic male who was diabetic male who was referred from another hospital and presented with a history of low-grade fever and breathlessness diabetic male who was referred from another hospital and presented with
"Candida_glabrata_3581574:Candida glabrata
",none,woman 66-year-old woman total knee arthroplasty year-old woman arthroplasty 66 old woman a total knee arthroplasty -old woman -year-old woman 66-year-old total knee arthrop knee arthroplasty 66-year a total knee arthrop a arthrop A 66-year-old woman year-old total knee arthroplast
"Candida_glabrata_6682251:Candida glabrata
",抑制,immunocompromised immunocompromised patient im immunocompromised patient with severe hypoxemia immunocompromised patient with severe immunocom immuno immunocomprom immu immunocompromised patient with immunocomp patient immunocompromised patient with severe h immunocompromised patient with severe hypox immunocompromised patient with severe hy An immunocompromised testing.ABSTRACT:An immunocompromised patient with severe hypoxemia patient with severe severe hypoxemia
"Candida_glabrata_7188718:Candida glabrata
",none,"gravida 7 mother gravida 7 , gravida 7 mother 7 mother g 37-year-old, gravida 7 mother mother , gravida 7 7 premature 0.52-kg female infant born at 23 weeks' gestation to a 37-year-old, gravida 7 mother 37-year-old, gravida 7 old, gravida 7 mother gravida premature 0.52-kg female infant born at 23 weeks' gestation to a 37-year-old, gravida 7 old, gravida 7 37 premature 0.52-kg female infant born at 23 weeks' gestation to a 37 37-year-old , g ,"
"Candida_glabrata_7918708:Candida glabrata
",抑制,immunocompromised immunocompromised patients immunocompromised patients. We report an atypical case of Candida glabrata pneumonia in a non immunosuppressed im immunocompromised patients. We report an atypical case of Candida glabrata pneumonia in a non-im immunosuppressed patient non-immunosuppressed non immunocompromised patients. We report an atypical case of Candida glabrata pneumonia in a non- non-immunosuppressed patient non-im immunocompromised patients. We report an atypical case of Candida glabrata pneumonia in a patient immunocomp patients non- immunocompromised patients. immunocom immuno
"Candida_glabrata_8150966:Candida glabrata
",none,"surgery surgery patients patients Three surgery surgery patients were monitored postoperatively, with particular reference surgery patients were monitored postoperatively, with particular surgery patients were monitored postoperatively, with particular reference to lung surgery patients were monitored surgery patients were monitored postoperatively, surgery patients were monitored postoperatively, with particular reference to lung infection. surgery patients were monitored postoperative surgery patients were monitored postoperatively, with particular reference to lung infection aeruginosa.ABSTRACT:Three surgery Three surgery patients aeruginosa.ABSTRACT:Three surgery patients patients were monitored postoperatively, with particular reference patients were monitored postoperatively, with particular patients were monitored postoperatively, with particular reference to lung patients were monitored patients were monitored postoperatively,"
"Candida_glabrata_9298048:Candida glabrata
",none,"elderly nonaddicted elderly nonaddicted patients elderly nonaddicted nonaddicted patients patients underlying elderly nonaddicted patients with recurrent pulmonary elderly non elderly nonaddict underlying medical conditions nonaddicted patients occurs mainly in the middle-aged and older persons, underlying medical elderly nonad nonaddict nonaddicted patients occurs mainly in the middle-aged and older persons nonaddicted patients with recurrent pulmonary non patients with recurrent pulmonary elderly nonaddicted patients with re"
"Candida_glabrata_944464:Candida glabrata
",none,aborted examining . a aborted bovine an aborted aborted bovine fetus. examining more than 5000 fetuses is reported. examining more than 5000 .ABSTRACT:The second case of bovine abortion caused by Torulopsis glabrata observed in examining examining more than 5000 fetuses bovine fetus.ABSTRACT:The second case of bovine abortion caused by Torulopsis glabrata observed in examining abor aborted bovine fetus.ABSTRACT:The second case of bovine examining more fetus.ABSTRACT:The second case of bovine abortion caused by Torulopsis glabrata observed in examining examining more than aborted bovine fetus.ABSTRACT:The examining more than 5000 fetuses is 5000 fetuses is reported.
"Candida_glabrata_9630334:Candida glabrata
",抑制,"bone marrow transplantation transplantation transplantation.ABSTRACT:Bacterial bone marrow transplant undergoing bone marrow transplantation transplant bone marrow transplantation.ABSTRACT:Bacterial and fungal infections in pediatric BMT recipients transplantation.ABSTRACT:Bacterial and fungal infections in pediatric BMT recipients marrow transplantation marrow transplantation.ABSTRACT:Bacterial neutropenic, bone marrow transplantation.ABSTRACT:Bacterial and fungal infections in pediatric BMT undergoing bone marrow transplant transplantation.ABSTRACT:Bacterial and fungal infections in pediatric BMT recipients undergoing bone marrow transplantation.ABSTRACT:Bacterial and fungal infections in pediatric BMT recipients bone marrow marrow transplant neutropenic marrow transplantation.ABSTRACT:Bacterial and fungal infections in pediatric BMT recipients"
"Candida_glabrata_9656677:Candida glabrata
",none,beg begu begu. subway 72 72-year-old man was exposed to the sarin gas attack in a Tokyo subway attack in a Tokyo subway a Tokyo subway 72-year-old man 72-year-old man was exposed to the sarin gas attack 72-year-old man was exposed to the sarin gas attack in a attack -year-old man was exposed to the sarin gas attack in a Tokyo subway year-old man was exposed to the sarin gas attack in a Tokyo subway man was exposed to the sarin gas attack in a Tokyo subway attack in a a -year-old man year-old man man
"Candida_glabrata_9844226:Candida glabrata
",抑制,HIV-infected HIV HIV-patients HIV-infected patients advanced HIV-patients advanced HIV advanced HIV-infected patients in our hospital. PATIENTS AND METHODS: We retrospectively (1989-1997) studied all HIV intravenous drug users intravenous HIV infection in HIV-patients and candidemia is fundamentally associated with intravenous drug use intravenous drug advanced HIV-patients and candidemia is fundamentally associated with intravenous drug use infected patients intra HIV-patients and candidemia is fundamentally associated with in HIV infection].ABSTRACT:OBJECTIVE: To make an analysis of fungemia in HIV-infected
"Candida_guillermondii_8150966:Candida guillermondii
",none,"surgery surgery patients patients Three surgery surgery patients were monitored postoperatively, with particular reference to lung infection. surgery patients were monitored postoperatively, with particular reference surgery patients were monitored postoperatively, with particular reference to lung surgery patients were monitored surgery patients were monitored postoperatively, with particular surgery patients were monitored postoperatively, surgery patients were monitored postoperatively, with particular reference to lung infection Three surgery patients patients were monitored postoperatively, with particular reference to lung infection. patients were monitored postoperatively, with particular reference patients were monitored postoperatively, with particular reference to lung patients were monitored patients were monitored postoperatively, with particular patients were monitored postoperatively, patients were monitored postoperatively, with particular reference to lung infection lung infection."
"Candida_haemulonii_26216479:Candida haemulonii
",none,"patients patients admitted to the University of Malaya Medical Centre the University of Malaya Medical Centre, Malaysia, from the year patients admitted to the University of Malaya Medical Centre different anatomical sites of patients patients admitted to the University of Malaya Medical Centre, Malaysia, from the year the the University of Malaya Medical Centre, Malaysia, from the year 2000 patients admitted to the the University of Malaya Medical Centre, patients admitted to the University of Malaya Medical Centre, Malaysia, from the year 2000 University of Malaya Medical Centre significance of local epidemiology in disease management and patients admitted to the University of Malaya Medical Centre, the University the University of Malaya Medical Centre, Malaysia, from the University of Malaya Medical Centre, Malaysia, from the year the University of Malaya patients admitted to the University"
"Candida_inconspicua_23855412:Candida inconspicua
",抑制,Hematogical malignancy Hematogical malignancy maligna ma Hemat initiated Hematogical malignancy was the main underlying disease (n = 12). Associated factors were the presence of a vascular catheter Hematogical maligna Hematogical ma . Thirteen cases of candidemia were recorded and five additional cases were found in the literature. Hematogical malignancy mali malignancy was the main underlying disease (n = 12). Associated factors were the presence of a vascular catheter He . Thirteen cases of candidemia were recorded and five additional cases were found in the literature. Hematogical initiated in six French University Hematogical mali initiated in six initiated in six French University hospitals. From this initiated in six French
"Candida_kefyr_16309351:Candida kefyr
",none,leukemic leukemic patient le leukemic patient. patient leuke a leukemic a leukemic patient leukemic patient. This is the first case of C. dubliniensis isolated in our laboratory. in a leukemic in a leukemic patient a le a leuke patient. patient. This is the first case of C. dubliniensis isolated in our laboratory. in a le in a leuke a a leukemic patient. a leukemic patient. This is the first case of C. dubliniensis isolated in our laboratory.
"Candida_kefyr_33590981:Candida kefyr
",none,regional Hacettepe University hospital which is a regional regional center for patients Hacette Ha Hacettepe University hospital which is a regional center for patients regional center a regional Hacettepe University hospital which is a regional center regional center for patients at risk of fungal infection were investigated. For this Hacettepe University Hacettepe University hospital which is a regional regional center for patients at risk of fungal infection were investigated. For this purpose is a regional Hacettepe University hospital which is Hacettepe University hospital which is a regional center for patients at risk of fungal infection were investigated. For this Hacettepe University hospital which is a Hacettepe University hospital which is a regional center for patients at risk of fungal infection were investigated. For this purpose Hacettepe University hospital
"Candida_krusei_10421038:Candida krusei
",抑制,"HIV-infected HIV HIV-infected patients infected HIV- infected patients -infected enrolled HIV-infected -infected patients patients enrolled HIV HIV-infected patients with prolonged fever.ABSTRACT:A prospective study HIV-infected patients with prolonged fever.ABSTRACT:A prospective study was conducted 32 consecutively enrolled HIV-infected enrolled HIV-infected patients consecutively enrolled HIV-infected HIV-infected patients with prolonged fever, being an unspecific manifestation of the opportunistic diseases causing fever of unknown origin in this 32 consecutively enrolled HIV consecutively enrolled HIV -"
"Candida_krusei_11347667:Candida krusei
",抑制,haematological malignancies malignancies haematological ma ma haematological haematological maligna maligna with haematological malignancies ha patients with haematological malignancies haematological mali mali 104 patients with haematological malignancies with haematological ma haema with haematological with haematological maligna haemato patients with haematological ma with ha
"Candida_krusei_11394804:Candida krusei
",none,heifer one-year-old heifer he one-year-old old heifer one old -old heifer one-year-old he -old one-year- old he -year-old heifer heifer. heifer.ABSTRACT: one- -year-old -old he one-year -
"Candida_krusei_12519355:Candida krusei
",抑制,heart transplantation transplantation heart transplant post-transplantation post-transplantation pneumonia due to Candida krusei is reported. A 42-year-old man was admitted 28 days after heart transplantation heart transplant after heart transplantation transplantation pneumonia due to Candida krusei is reported. A 42-year-old man was admitted 28 days after heart transplantation post-transplantation pneumonia due to Candida krusei is reported. A 42-year-old man was admitted 28 days after heart after heart transplant transplantation pneumonia due to Candida krusei is reported. A 42-year-old man was admitted 28 days after heart transplant after heart transplantation pneumonia due to Candida krusei is reported. A 42-year-old man was admitted 28 days after heart 42-year-old man was admitted 28 days after heart transplantation man was admitted 28 days after heart transplantation post-transplantation pneumonia due to Candida krusei is reported. A 42-year-old man was admitted 28 days after 28 days after heart transplantation -transplantation -transplantation pneumonia due to Candida krusei is reported. A 42-year-old man was admitted 28 days after heart transplantation
"Candida_krusei_12625110:Candida krusei
",抑制,immunocompromised immunocompromised patient im immunocom immunocompromised patient.ABSTRACT:INTRODUCTION: patient chemotherapy chemotherapy-induced neutropenia ch neutropenia chemotherapy-induced prolonged chemotherapy chem chemotherapy-induced ne prolonged chemotherapy-induced neutropenia chemotherapy-induced neutropenia. prolonged ch chemotherapy-induced neutropenia. CLINICAL PICTURE: The patient was given neutropenia. induced neutropenia
"Candida_krusei_17885950:Candida krusei
",抑制,"chronic myeloid leukemia chronic leukemia myeloid leukemia chronic myeloid leukemia (CML chronic myeloid leukemia (CML) chronic myeloid leukemia (CML), who was treated chronic myeloid chronic myeloid leuke from chronic myeloid leukemia chronic myeloid le chronic myeloid leukemia ( chronic myeloid leukemia (CML), who was treated for 4.5 years with imatinib chronic myeloid leukemia (C suffering from chronic myeloid leukemia chronic my chronic myeloid leukemia receiving imatinib mesylate treatment treatment.ABSTRACT:In this report we describe a patient suffering from chronic myeloid leukemia leukemia (CML), myeloid leukemia (CML"
"Candida_krusei_18415841:Candida krusei
",none,"diabetic patient patient diabetic patient, diabetic di diabetic patient.ABSTRACT:Descending a diabetic patient high mortality. A rare case of an odontogenic infection in a diabetic patient diabe a diabetic high mortality. A rare case of an odontogenic infection in a diabetic a di high mortality. A rare case of an odontogenic infection in a di a diabe high mortality. A rare case of an odontogenic infection in a diabe parapharyngeal . high a high mortality. A rare case of an odontogenic infection in a"
"Candida_krusei_19485782:Candida krusei
",抑制,immunocompromised immunocompromised hosts im transplant transplant and two surgical immunocomp surgical immunocom immuno immu Solid organ recipients transplant and two surgical patients pancreas graft was lost. Four patients (57%) harbored the same Ck strain. CONCLUSION: Solid organ recipients organ recipients recipients Solid organ pancreas graft was lost. Four patients (57%) harbored the same Ck strain. CONCLUSION: Solid organ pancreas organ Solid
"Candida_krusei_20367934:Candida krusei
",none,"ventilation Assist ventilation, Assist ventilation, combination of bacterial infection, broad spectrum antibiotics treatment were the most important risk factors of IFI in SICU. Assist ventilation ventilation, combination of bacterial infection, broad spectrum antibiotics treatment were the most important risk factors of IFI in S ventilation, combination of bacterial infection, broad spectrum antibiotics treatment were the most important risk factors of IFI in SICU Assist ventilation, combination of bacterial infection, broad spectrum antibiotics treatment were the most important risk factors of IFI in SICU. ventilation, SICU during January 2003 to December 2008 was retrospectively analyzed. A total of 3743 patients SICU. S SICU ventilation, combination of bacterial infection, broad spectrum antibiotics treatment were the most important risk factors of IFI in SIC SICU). METHODS: The IFI data of the patients who were admitted in SICU SICU). METHODS: The IFI data of the patients who were admitted in S SICU during January 2003 to December 2008 was retrospectively analyzed. A total of 3743 patients were admitted into S SICU during January 2003 to December 2008 was retrospectively analyzed. A total of 3743 patients were admitted into surgical intensive care unit (SICU). METHODS: The IFI data of the patients who were admitted in SICU surgical intensive care unit (SICU). METHODS: The IFI data of the patients who were admitted in S"
"Candida_krusei_20809925:Candida krusei
",none,chronic renal failure on haemodialysis chronic renal failure haemodialysis renal failure on haemodialysis renal failure failure on haemodialysis failure chronic chronic renal failure on ha with chronic renal failure on haemodialysis haemodialysis--case with chronic renal failure chronic renal chronic renal failure on haemodialys renal failure on haemodialysis--case ha chronic re haemodialys renal failure on ha renal
"Candida_krusei_21500462:Candida krusei
",none,"target the patients diagnosed with VAP after cardiac surgery at the Institute of Cardiovascular Diseases in Iasi target cardiac surgery at the Institute of Cardiovascular Diseases in Iasi Iasi, cardiac surgery. The study had as target the patients diagnosed with VAP after cardiac surgery at the Institute of Cardiovascular Diseases in Iasi cardiac surgery. The study had as target operated patients operated target the patients diagnosed with VAP after cardiac surgery surgery. The study had as target the patients diagnosed with VAP after cardiac surgery at the Institute of Cardiovascular Diseases in Iasi cardiac surgery surgery at the Institute of Cardiovascular Diseases in Iasi surgery. The study had as target cardiac surgery. The study had as target the patients diagnosed with VAP after cardiac surgery target the patients diagnosed with VAP after cardiac patients Iasi as target the patients diagnosed with VAP after cardiac surgery at the Institute of Cardiovascular Diseases in Iasi target the patients diagnosed with VAP after cardiac surgery at the Institute of Cardiovascular Diseases in I the patients diagnosed with VAP after cardiac surgery at the Institute of Cardiovascular Diseases in Iasi"
"Candida_krusei_2540367:Candida krusei
",抑制,"hematological malignancy hem hematological malignancy. Enrolled in the study were 1 patient with acute lymphatic le malignant lymphoma hematological ma hematological maligna acute myelomonocytic leukemia, 2 with malignant lymphoma leukemia, 2 with acute myelomonocytic leukemia, 2 with malignant lymphoma hematological hemato lymphoma leukemia, 2 with malignant lymphoma acute myelomonocytic leukemia hematological malignancy. Enrolled in the study were 1 patient malignancy hematological malignancy. Enrolled in the study were 1 patient with acute lymphatic hematological malignancy. Enrolled in the study were 1 patient with malignancy. leukemia, 2 with acute myelomonocytic leukemia leukemia, 2 with acute myelomonocytic leukemia,"
