,物种名称,是否是致病菌,预测概率,样本量,样本量文本,年龄,年龄文本,患者性别,性别文本,免疫状态,免疫文本,证据等级,证据文本,原文链接,标注方式
Burkholderia_fungorum_12037065,Burkholderia fungorum,no,[1],10-100,51,NA,NA,群体,51,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,NA,https://pubmed.ncbi.nlm.nih.gov/12037065/,人工标注
Moraxella_osloensis_12037065,Moraxella osloensis,no,[1],10-100,51,NA,NA,群体,51,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,NA,https://pubmed.ncbi.nlm.nih.gov/12037065/,人工标注
Legionella_wadsworthii_12058317,Legionella wadsworthii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12058317/,人工标注
Neisseria_weaveri_12076070,Neisseria weaveri,yes,[1],1,case,17-65,60,男,男性,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,16S rRNA测序,https://pubmed.ncbi.nlm.nih.gov/12076070/,人工标注
Citrobacter_koseri_12217738,Citrobacter koseri,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12217738/,人工标注
Pseudomonas_veronii_12361251,Pseudomonas veronii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12361251/,人工标注
Burkholderia_ubonensis_12448677,Burkholderia ubonensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12448677/,人工标注
Acinetobacter_ursingii_12624081,Acinetobacter ursingii,no,[1],1,a patient,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12624081/,人工标注
Psychrobacter_pulmonis_12710606,Psychrobacter pulmonis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12710606/,人工标注
Psychrobacter_phenylpyruvicus_12710606,Psychrobacter phenylpyruvicus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12710606/,人工标注
Pandoraea_pnomenusa_12734295,Pandoraea pnomenusa,yes,[1],1,一名,17-65,30岁,男,男,抑制,肺移植,3：血及无菌体液（如脓胸液）,NA,https://pubmed.ncbi.nlm.nih.gov/12734295/,人工标注
Brucella_ovis_12777212,Brucella ovis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12777212/,人工标注
Ralstonia_mannitolilytica_12843108,Ralstonia mannitolilytica,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12843108/,人工标注
Pandoraea_norimbergensis_12843108,Pandoraea norimbergensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12843108/,人工标注
Pandoraea_pulmonicola_12843108,Pandoraea pulmonicola,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12843108/,人工标注
Legionella_massiliensis_12890321,Legionella massiliensis,no,[1],10-100,30,NA,NA,群体,30,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,支气管肺泡灌洗液,https://pubmed.ncbi.nlm.nih.gov/12890321/,人工标注
Ralstonia_insidiosa_12892129,Ralstonia insidiosa,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12892129/,人工标注
Hafnia_alvei_14624659,Hafnia alvei,yes,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/14624659/,人工标注
Streptobacillus_moniliformis_14888820,Streptobacillus moniliformis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/14888820/,人工标注
Legionella_sainthelensi_14984304,Legionella sainthelensi,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/14984304/,人工标注
Legionella_erythra_14984304,Legionella erythra,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/14984304/,人工标注
Legionella_oakridgensis_14984304,Legionella oakridgensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/14984304/,人工标注
Providencia_stuartii_15032335,Providencia stuartii,no,[1],10-100,18,NA,NA,群体,18,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15032335/,人工标注
Burkholderia_pyrrocinia_15070994,Burkholderia pyrrocinia,no,[1],10-100,75,NA,NA,群体,75,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15070994/,人工标注
Moraxella_osloensis_15080311,Moraxella osloensis,yes,[1],1-10,10 cases,NA,NA,NA,NA,抑制,anticancer chemotherapy,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,the 16S ribosomal RNA gene,https://pubmed.ncbi.nlm.nih.gov/15080311/,人工标注
Providencia_stuartii_15155113,Providencia stuartii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15155113/,人工标注
Legionella_hackeliae_15188080,Legionella hackeliae,yes,[1],1-10,两名,NA,NA,NA,NA,受损,splenectomized patients,7：免疫学证据,血清学阳性,https://pubmed.ncbi.nlm.nih.gov/15188080/,人工标注
Pseudomonas_stutzeri_15214751,Pseudomonas stutzeri,yes,[1],1,case,1-17,four,男,boy,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15214751/,人工标注
Legionella_pneumophila_15329532,Legionella pneumophila,yes,[1],1,1例,1岁以下,7天,NA,NA,NA,NA,7：免疫学证据,血清学及尿抗原阳性,https://pubmed.ncbi.nlm.nih.gov/15329532/,人工标注
Legionella_spiritensis_15329532,Legionella spiritensis,no,[1],NA,1例,NA,7天,NA,NA,NA,NA,NA,血清学及尿抗原阳性,https://pubmed.ncbi.nlm.nih.gov/15329532/,人工标注
Alcaligenes_faecalis_15389476,Alcaligenes faecalis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15389476/,人工标注
Legionella_maceachernii_15474325,Legionella maceachernii,yes,[1],1,一例,17-65,49,男,男性,受损,感染HIV,4：气管镜活检组织培养出病原体，或者支气管肺泡灌洗液（BALF）定量培养>10**4,NA,https://pubmed.ncbi.nlm.nih.gov/15474325/,人工标注
Aeromonas_sobria_15475633,Aeromonas sobria,no,[1],1,one patient,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15475633/,人工标注
Pseudomonas_stutzeri_15599466,Pseudomonas stutzeri,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15599466/,人工标注
Pasteurella_dagmatis_15634981,Pasteurella dagmatis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15634981/,人工标注
Legionella_rubrilucens_15639365,Legionella rubrilucens,no,[1],NA,NA,NA,NA,NA,NA,受损,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15639365/,人工标注
Ewingella_americana_15716620,Ewingella americana,yes,[1],1,case,17-65,NA,男,he,抑制,移植肾,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/15716620/,人工标注
Providencia_rettgeri_15732602,Providencia rettgeri,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15732602/,人工标注
Vibrio_alginolyticus_15759796,Vibrio alginolyticus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15759796/,人工标注
Legionella_londiniensis_16022473,Legionella londiniensis,yes,[1],10-100,295例,NA,NA,NA,295例,受损,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/16022473/,人工标注
Bordetella_petrii_16035245,Bordetella petrii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16035245/,人工标注
Hafnia_alvei_16038176,Hafnia alvei,yes,[1],1,一名,65以上,85岁,男,男性,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,血液培养和一种呼吸分泌物样本,https://pubmed.ncbi.nlm.nih.gov/16038176/,人工标注
Capnocytophaga_cynodegmi_16055008,Capnocytophaga cynodegmi,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16055008/,人工标注
Pasteurella_dagmatis_16081998,Pasteurella dagmatis,yes,[1],1,一,NA,NA,NA,NA,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,16S rRNA,https://pubmed.ncbi.nlm.nih.gov/16081998/,人工标注
Acinetobacter_haemolyticus_16123829,Acinetobacter haemolyticus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16123829/,人工标注
Pannonibacter_phragmitetus_16132425,Pannonibacter phragmitetus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16132425/,人工标注
Taylorella_16166666,Taylorella,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16166666/,人工标注
Pelistega_16166666,Pelistega,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16166666/,人工标注
Pigmentiphaga_16166666,Pigmentiphaga,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16166666/,人工标注
Acinetobacter_haemolyticus_16192681,Acinetobacter haemolyticus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16192681/,人工标注
Pseudomonas_stutzeri_16274743,Pseudomonas stutzeri,yes,[1],1,NA,17-65,NA,男,NA,抑制,NA,3：血及无菌体液（如脓胸液）,NA,https://pubmed.ncbi.nlm.nih.gov/16274743/,人工标注
Legionella_waltersii_16299887,Legionella waltersii,yes,[1],1,1例,1-17,5岁,女,女童,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,军团菌DNA,https://pubmed.ncbi.nlm.nih.gov/16299887/,人工标注
Serratia_odorifera_16403578,Serratia odorifera,yes,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16403578/,人工标注
Neisseria_elongata_16455901,Neisseria elongata,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16455901/,人工标注
Neisseria_bacilliformis_16455901,Neisseria bacilliformis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16455901/,人工标注
Legionella_worsleiensis_16494750,Legionella worsleiensis,yes,[1],10-100,40例,NA,NA,群体,40例,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,聚合酶链反应,https://pubmed.ncbi.nlm.nih.gov/16494750/,人工标注
Legionella_massiliensis_16494750,Legionella massiliensis,yes,[1],10-100,40例,NA,NA,群体,40例,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,聚合酶链反应,https://pubmed.ncbi.nlm.nih.gov/16494750/,人工标注
Legionella_quinlivanii_16494750,Legionella quinlivanii,yes,[1],10-100,40例,NA,NA,群体,40例,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,聚合酶链反应,https://pubmed.ncbi.nlm.nih.gov/16494750/,人工标注
Legionella_rubrilucens_16494750,Legionella rubrilucens,yes,[1],10-100,40例,NA,NA,群体,40例,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,聚合酶链反应,https://pubmed.ncbi.nlm.nih.gov/16494750/,人工标注
Enterobacter_gergoviae_16498735,Enterobacter gergoviae,yes,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16498735/,人工标注
Legionella_maceachernii_16511781,Legionella maceachernii,yes,[1],NA,NA,NA,NA,NA,NA,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,NA,https://pubmed.ncbi.nlm.nih.gov/16511781/,人工标注
Sphingobacterium_mizutaii_16957095,Sphingobacterium mizutaii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16957095/,人工标注
Buttiauxella_species_17087382,Buttiauxella species,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17087382/,人工标注
Kingella_oralis_17098895,Kingella oralis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17098895/,人工标注
Kingella_denitrificans_17098895,Kingella denitrificans,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17098895/,人工标注
Sphingobacterium_thalpophilum_17267986,Sphingobacterium thalpophilum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17267986/,人工标注
Haemophilus_segnis_17301280,Haemophilus segnis,no,[1],1-10,NA,NA,NA,NA,NA,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,NA,https://pubmed.ncbi.nlm.nih.gov/17301280/,人工标注
Enterobacter_amnigenus_17312713,Enterobacter amnigenus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17312713/,人工标注
Serratia_rubidaea_17321092,Serratia rubidaea,no,[1],1,the case,17-65,a 54-year-old,NA,NA,NA,NA,3：血及无菌体液（如脓胸液）,hemocultures,https://pubmed.ncbi.nlm.nih.gov/17321092/,人工标注
Pseudomonas_alcaligenes_17350201,Pseudomonas alcaligenes,no,[1],NA,19,NA,NA,NA,19,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17350201/,人工标注
Serratia_liquefaciens_17594870,Serratia liquefaciens,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17594870/,人工标注
Escherichia_fergusonii_17616063,Escherichia fergusonii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17616063/,人工标注
Sphingobacterium_thalpophilum_17629434,Sphingobacterium thalpophilum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17629434/,人工标注
Sphingobacterium_multivorum_17629434,Sphingobacterium multivorum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17629434/,人工标注
Bergeyella_zoohelcum_17660147,Bergeyella zoohelcum,no,[1],1,a,65以上,73-year-old,男,man,NA,NA,3：血及无菌体液（如脓胸液）,blood culture,https://pubmed.ncbi.nlm.nih.gov/17660147/,人工标注
Pseudomonas_veronii_17882513,Pseudomonas veronii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17882513/,人工标注
Ewingella_americana_17956962,Ewingella americana,yes,[1],1,一,65以上,77,女,女性,受损,immunocompromised patients,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,痰培养,https://pubmed.ncbi.nlm.nih.gov/17956962/,人工标注
Pandoraea_sputorum_18065662,Pandoraea sputorum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18065662/,人工标注
Pandoraea_norimbergensis_18065662,Pandoraea norimbergensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18065662/,人工标注
Francisella_philomiragia_18159552,Francisella philomiragia,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18159552/,人工标注
Brevundimonas_diminuta_18198803,Brevundimonas diminuta,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18198803/,人工标注
Vibrio_vulnificus_18251785,Vibrio vulnificus,no,[1],1,the latter,17-65,57-year-old,男,man,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18251785/,人工标注
Bordetella_petrii_18325036,Bordetella petrii,yes,[1],1-10,43例,NA,NA,NA,43,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,cultures,https://pubmed.ncbi.nlm.nih.gov/18325036/,人工标注
Capnocytophaga_sputigena_18390433,Capnocytophaga sputigena,yes,[1],1,一例,1岁以下,newborn child,NA,NA,NA,NA,3：血及无菌体液（如脓胸液）,血培养,https://pubmed.ncbi.nlm.nih.gov/18390433/,人工标注
Asaia_18391448,Asaia,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18391448/,人工标注
Aeromonas_bestiarum_18422955,Aeromonas bestiarum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18422955/,人工标注
Ewingella_americana_18626541,Ewingella americana,yes,[1],1,case,NA,NA,男,He,NA,NA,NA,identified to be the pathogen,https://pubmed.ncbi.nlm.nih.gov/18626541/,人工标注
Pandoraea_sputorum_18650348,Pandoraea sputorum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18650348/,人工标注
Myroides_odoratimimus_18684121,Myroides odoratimimus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18684121/,人工标注
Capnocytophaga_cynodegmi_18753348,Capnocytophaga cynodegmi,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18753348/,人工标注
Castellaniella_18768620,Castellaniella,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18768620/,人工标注
Capnocytophaga_sputigena_18804973,Capnocytophaga sputigena,yes,[1],1,一例,1-17,13-year-old,NA,NA,正常,immunocompetent,3：血及无菌体液（如脓胸液）,NA,https://pubmed.ncbi.nlm.nih.gov/18804973/,人工标注
Brucella_pinnipedialis_18828563,Brucella pinnipedialis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18828563/,人工标注
Acinetobacter_haemolyticus_19040560,Acinetobacter haemolyticus,no,[1],NA,41例,NA,NA,NA,41,NA,肾移植,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19040560/,人工标注
Brevundimonas_vesicularis_19060052,Brevundimonas vesicularis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19060052/,人工标注
Ochrobactrum_anthropi_19061488,Ochrobactrum anthropi,yes,[1],1,1例,1-17,17岁,女,妇女,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,16S rRNA扩增和测序,https://pubmed.ncbi.nlm.nih.gov/19061488/,人工标注
Brevundimonas_diminuta_19061488,Brevundimonas diminuta,yes,[1],1,1例,1-17,17岁,女,妇女,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,16S rRNA扩增和测序,https://pubmed.ncbi.nlm.nih.gov/19061488/,人工标注
Aeromonas_veronii_biovar_sobria_19080598,Aeromonas veronii biovar sobria,yes,[1],1,一例,NA,NA,NA,NA,NA,NA,1：同时具备肺组织病理+病原学证据,活检标本病理,https://pubmed.ncbi.nlm.nih.gov/19080598/,人工标注
Cedecea_lapagei_19149091,Cedecea lapagei,yes,[1],1,1例,17-65,38岁,男,男性,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,支气管肺泡灌洗液,https://pubmed.ncbi.nlm.nih.gov/19149091/,人工标注
Kluyvera_ascorbata_19228413,Kluyvera ascorbata,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19228413/,人工标注
Pigmentiphaga_19244433,Pigmentiphaga,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19244433/,人工标注
Capnocytophaga_canimorsus_19282702,Capnocytophaga canimorsus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19282702/,人工标注
Moellerella_wisconsensis_19394768,Moellerella wisconsensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19394768/,人工标注
Legionella_cincinnatiensis_19438641,Legionella cincinnatiensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19438641/,人工标注
Roseomonas_gilardii_19542147,Roseomonas gilardii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19542147/,人工标注
Vibrio_vulnificus_19549579,Vibrio vulnificus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19549579/,人工标注
Serratia_plymuthica_19567344,Serratia plymuthica,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19567344/,人工标注
Citrobacter_braakii_19567344,Citrobacter braakii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19567344/,人工标注
Comamonas_terrigena_19567344,Comamonas terrigena,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19567344/,人工标注
Kluyvera_ascorbata_19567344,Kluyvera ascorbata,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19567344/,人工标注
Kluyvera_cryocrescens_19567344,Kluyvera cryocrescens,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19567344/,人工标注
Leclercia_adecarboxylata_19567344,Leclercia adecarboxylata,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19567344/,人工标注
Ochrobactrum_anthropi_19567344,Ochrobactrum anthropi,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19567344/,人工标注
Proteus_penneri_19567344,Proteus penneri,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19567344/,人工标注
Ralstonia_pickettii_19621622,Ralstonia pickettii,yes,[1],1,一例,17-65,56,男,男,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,深气管抽吸标本,https://pubmed.ncbi.nlm.nih.gov/19621622/,人工标注
Legionella_spiritensis_19640837,Legionella spiritensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19640837/,人工标注
Pandoraea_sputorum_19643869,Pandoraea sputorum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19643869/,人工标注
Pandoraea_norimbergensis_19643869,Pandoraea norimbergensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19643869/,人工标注
Pandoraea_pulmonicola_19643869,Pandoraea pulmonicola,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19643869/,人工标注
Pusillimonas_19734285,Pusillimonas,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19734285/,人工标注
Pigmentiphaga_19734285,Pigmentiphaga,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19734285/,人工标注
Pandoraea_pnomenusa_19741077,Pandoraea pnomenusa,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19741077/,人工标注
Chryseobacterium_treverense_19801393,Chryseobacterium treverense,no,[1],1,a human clinical source,NA,NA,NA,NA,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,gene sequence,https://pubmed.ncbi.nlm.nih.gov/19801393/,人工标注
Castellaniella_19819992,Castellaniella,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19819992/,人工标注
Legionella_tucsonensis_19841075,Legionella tucsonensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19841075/,人工标注
Legionella_parisiensis_19841075,Legionella parisiensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19841075/,人工标注
Pusillimonas_19933592,Pusillimonas,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19933592/,人工标注
Legionella_maceachernii_19952481,Legionella maceachernii,yes,[1],1,62,NA,NA,NA,NA,抑制,impaired cellular immunity,3：血及无菌体液（如脓胸液）,isolated from the abscess,https://pubmed.ncbi.nlm.nih.gov/19952481/,人工标注
Pseudomonas_alcaligenes_20061679,Pseudomonas alcaligenes,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/20061679/,人工标注
Alcaligenes_faecalis_20061679,Alcaligenes faecalis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/20061679/,人工标注
Brucella_inopinata_20105296,Brucella inopinata,no,[1],1,a 52-year-old patient in Australia,17-65,52 year-old patient,NA,NA,NA,NA,2：肺组织病原学证据,isolated from a lung biopsy,https://pubmed.ncbi.nlm.nih.gov/20105296/,人工标注
Aeromonas_caviae_20339022,Aeromonas caviae,no,[1],NA,a case,NA,NA,NA,NA,NA,NA,NA,isolate carried three beta-lactamase-encoding genes,https://pubmed.ncbi.nlm.nih.gov/20339022/,人工标注
Cupriavidus_pauculus_20455409,Cupriavidus pauculus,yes,[1],1,A case,17-65,47,女,female,受损,immunocompromised host.,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,bronchoalveolar lavage and bronchoscope aspiration materials were obtained and cultivated,https://pubmed.ncbi.nlm.nih.gov/20455409/,人工标注
Legionella_rubrilucens_20558588,Legionella rubrilucens,no,[1],NA,a pneumonia patient,NA,NA,NA,NA,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,sputum,https://pubmed.ncbi.nlm.nih.gov/20558588/,人工标注
