,age,age_origin
"Caviid_herpesvirus_2_22862952:Caviid herpesvirus 2
",1-17岁,a child
"Caviid_herpesvirus_2_22937721:Caviid herpesvirus 2
",17-65岁,56
"Caviid_herpesvirus_2_23182063:Caviid herpesvirus 2
",17-65岁,34
"Caviid_herpesvirus_2_24835137:Caviid herpesvirus 2
",>65岁,73-year-old
"Caviid_herpesvirus_2_24908953:Caviid herpesvirus 2
",17-65岁,60-i
"Caviid_herpesvirus_2_27215907:Caviid herpesvirus 2
",none,:
"Caviid_herpesvirus_2_28464021:Caviid herpesvirus 2
",1-17岁,2 months to 10
"Caviid_herpesvirus_2_28551368:Caviid herpesvirus 2
",none,)
"Caviid_herpesvirus_2_29618688:Caviid herpesvirus 2
",17-65岁,46-year-old
"Caviid_herpesvirus_2_30067953:Caviid herpesvirus 2
",none,manipulated
"Caviid_herpesvirus_2_30742492:Caviid herpesvirus 2
",none,allogeneic
"Caviid_herpesvirus_2_32406606:Caviid herpesvirus 2
",none,patient
"Caviid_herpesvirus_2_33046850:Caviid herpesvirus 2
",none,Failure
"Caviid_herpesvirus_2_33762272:Caviid herpesvirus 2
",none,a
"Caviid_herpesvirus_2_33841432:Caviid herpesvirus 2
",1-17岁,"pregnancies, with some evidence suggesting adverse health consequences for the child."
"Caviid_herpesvirus_2_33851733:Caviid herpesvirus 2
",1-17岁,15
"Caviid_herpesvirus_2_7906332:Caviid herpesvirus 2
",1-17岁,nine
"Caviid_herpesvirus_2_8259311:Caviid herpesvirus 2
",1-17岁,2
"Caviid_herpesvirus_2_8283170:Caviid herpesvirus 2
",1-17岁,8
"Caviid_herpesvirus_2_8390614:Caviid herpesvirus 2
",1-17岁,15
"Caviid_herpesvirus_2_8707578:Caviid herpesvirus 2
",none,clarify
"Cercopithecine_herpesvirus_1_31304835:Cercopithecine herpesvirus 1
",none,an outpatient clinical practice
"Cercopithecine_herpesvirus_2_31304835:Cercopithecine herpesvirus 2
",none,an outpatient clinical practice
"Cercopithecine_herpesvirus_2_7948555:Cercopithecine herpesvirus 2
",none,'
"Cercopithecine_herpesvirus_3_167229:Cercopithecine herpesvirus 3
",17-65岁,4 yr died after an illness of 19 da
"Cercopithecine_herpesvirus_3_7948555:Cercopithecine herpesvirus 3
",none,'
"Cercopithecine_herpesvirus_4_165794:Cercopithecine herpesvirus 4
",17-65岁,29-year-old
"Cercopithecine_herpesvirus_4_167229:Cercopithecine herpesvirus 4
",17-65岁,4 yr died after an illness of 19 da
"Cercopithecine_herpesvirus_6_165794:Cercopithecine herpesvirus 6
",17-65岁,29-year-old
"Cercopithecine_herpesvirus_6_31304835:Cercopithecine herpesvirus 6
",none,an outpatient clinical practice
"Cercopithecine_herpesvirus_6_33502489:Cercopithecine herpesvirus 6
",17-65岁,6 months-17
"Cercopithecine_herpesvirus_7_31304835:Cercopithecine herpesvirus 7
",none,an outpatient clinical practice
"Cercopithecine_herpesvirus_7_33502489:Cercopithecine herpesvirus 7
",17-65岁,6 months-17
"Cercopithecine_herpesvirus_8_31304835:Cercopithecine herpesvirus 8
",none,an outpatient clinical practice
"Cercopithecine_herpesvirus_8_7948555:Cercopithecine herpesvirus 8
",none,'
"Chaco_virus_27295701:Chaco virus
",17-65岁,18
"Chaco_virus_32334847:Chaco virus
",17-65岁,27-year-old
"Chaco_virus_33053023:Chaco virus
",17-65岁,61
"Chandipura_virus_2420069:Chandipura virus
",1-17岁,5
"Chandipura_virus_3002257:Chandipura virus
",none,.
"Chenuda_virus_29519857:Chenuda virus
",1-17岁,12
"Chikungunya_virus_11485641:Chikungunya virus
",none,nonzoonotic
"Chikungunya_virus_18694529:Chikungunya virus
",none,age
"Chikungunya_virus_19068981:Chikungunya virus
",1-17岁,9
"Chikungunya_virus_26821179:Chikungunya virus
",17-65岁,2-59
"Chikungunya_virus_27473947:Chikungunya virus
",>65岁,36 years (range 16-78
"Chikungunya_virus_29906040:Chikungunya virus
",none,a
"Chikungunya_virus_32215760:Chikungunya virus
",none,future
"Chikungunya_virus_33406122:Chikungunya virus
",none,patients
"Chikungunya_virus_33694220:Chikungunya virus
",>65岁,1766
"Chikungunya_virus_34667754:Chikungunya virus
",none,"dermatologist or physician in early diagnosis of this novel infection, especially in a resource-poor setting."
"Chikungunya_virus_34924014:Chikungunya virus
",>65岁,2019
"Chim_virus_32156607:Chim virus
",>65岁,older
"Chim_virus_32474009:Chim virus
",none,.
"Chim_virus_32531257:Chim virus
",>65岁,123
"Chim_virus_32621814:Chim virus
",none,guide
"Chim_virus_32659224:Chim virus
",none,the
"Chim_virus_32946791:Chim virus
",none,alternative
"Chim_virus_33002475:Chim virus
",none,longer
"Chim_virus_33159954:Chim virus
",none,dyscratic
"Chim_virus_33741357:Chim virus
",>65岁,249
"Chim_virus_34843703:Chim virus
",17-65岁,54-year-old
"Chim_virus_9730310:Chim virus
",none,A
"Chirono_mustentans_NPV_33228818:Chirono mustentans NPV
",>65岁,194
"Chirono_mustentans_NPV_33270790:Chirono mustentans NPV
",none,all
"Chirono_mustentans_NPV_33296409:Chirono mustentans NPV
",>65岁,65
"Chirono_mustentans_NPV_33335520:Chirono mustentans NPV
",>65岁,72
"Chirono_mustentans_NPV_33449185:Chirono mustentans NPV
",17-65岁,49.2 +- 17
"Chirono_mustentans_NPV_33509388:Chirono mustentans NPV
",17-65岁,18
"Chirono_mustentans_NPV_33761733:Chirono mustentans NPV
",>65岁,136 moderate patients and 83
"Chirono_mustentans_NPV_33788910:Chirono mustentans NPV
",>65岁,73
"Chirono_mustentans_NPV_33814777:Chirono mustentans NPV
",17-65岁,60
"Chirono_mustentans_NPV_33871709:Chirono mustentans NPV
",none,administrative
"Chirono_mustentans_NPV_33872057:Chirono mustentans NPV
",>65岁,140
"Chirono_mustentans_NPV_33873077:Chirono mustentans NPV
",>65岁,78
"Chirono_mustentans_NPV_34063861:Chirono mustentans NPV
",>65岁,101
"Chirono_mustentans_NPV_34093013:Chirono mustentans NPV
",none,ward
"Chirono_mustentans_NPV_34096323:Chirono mustentans NPV
",17-65岁,60
"Chirono_mustentans_NPV_34106017:Chirono mustentans NPV
",>65岁,76
"Chirono_mustentans_NPV_34130118:Chirono mustentans NPV
",17-65岁,56
"Chirono_mustentans_NPV_34218365:Chirono mustentans NPV
",17-65岁,58
"Chirono_mustentans_NPV_34243776:Chirono mustentans NPV
",>65岁,older
"Chirono_mustentans_NPV_34249808:Chirono mustentans NPV
",17-65岁,47
"Chirono_mustentans_NPV_34384896:Chirono mustentans NPV
",17-65岁,adults
"Chirono_mustentans_NPV_34493222:Chirono mustentans NPV
",>65岁,2020
"Chirono_mustentans_NPV_34675676:Chirono mustentans NPV
",17-65岁,59
"Chirono_mustentans_NPV_34745031:Chirono mustentans NPV
",>65岁,from HIV and non-HIV patients during 2013-2019
"Cicetid_herpesvirus_33762272:Cicetid herpesvirus
",none,a
"Cicetid_herpesvirus_33794653:Cicetid herpesvirus
",none,guide
"Cicetid_herpesvirus_33830840:Cicetid herpesvirus
",17-65岁,37-year-old
"Cicetid_herpesvirus_33851733:Cicetid herpesvirus
",1-17岁,15
"Cicetid_herpesvirus_33904292:Cicetid herpesvirus
",none,"immunocompetent woman,"
"Cicetid_herpesvirus_33926298:Cicetid herpesvirus
",none,patient
"Cicetid_herpesvirus_33929775:Cicetid herpesvirus
",1岁以下,3-month-old
"Cicetid_herpesvirus_33947335:Cicetid herpesvirus
",>65岁,70
"Cicetid_herpesvirus_34030103:Cicetid herpesvirus
",none,"reactivation, and"
"Cicetid_herpesvirus_34036626:Cicetid herpesvirus
",none,interaction?ABSTRACT:
"Cicetid_herpesvirus_34053771:Cicetid herpesvirus
",none,old
"Cicetid_herpesvirus_34058813:Cicetid herpesvirus
",>65岁,118
"Cicetid_herpesvirus_34133382:Cicetid herpesvirus
",1-17岁,young boy
"Cicetid_herpesvirus_34146746:Cicetid herpesvirus
",1-17岁,6
"Cicetid_herpesvirus_34197543:Cicetid herpesvirus
",17-65岁,18
"Cicetid_herpesvirus_34290701:Cicetid herpesvirus
",none,a
"Cicetid_herpesvirus_34346577:Cicetid herpesvirus
",1-17岁,children
"Cicetid_herpesvirus_34352450:Cicetid herpesvirus
",none,observed
"Cicetid_herpesvirus_34364400:Cicetid herpesvirus
",17-65岁,53-year-old
"Cicetid_herpesvirus_34383785:Cicetid herpesvirus
",>65岁,144
"Cicetid_herpesvirus_34393023:Cicetid herpesvirus
",1-17岁,13-year-old
"Cicetid_herpesvirus_34397856:Cicetid herpesvirus
",>65岁,66-year-old
"Cicetid_herpesvirus_34428545:Cicetid herpesvirus
",>65岁,older
"Cicetid_herpesvirus_34482844:Cicetid herpesvirus
",1-17岁,5-year-old
"Cicetid_herpesvirus_34525962:Cicetid herpesvirus
",>65岁,2020
"Cicetid_herpesvirus_34576791:Cicetid herpesvirus
",>65岁,70
"Cicetid_herpesvirus_34582431:Cicetid herpesvirus
",none,a
"Cicetid_herpesvirus_34823946:Cicetid herpesvirus
",17-65岁,51 (39-64
"Cicetid_herpesvirus_34853045:Cicetid herpesvirus
",17-65岁,30-year-old
"Cicetid_herpesvirus_34863102:Cicetid herpesvirus
",17-65岁,64-year-old
"Cicetid_herpesvirus_34872585:Cicetid herpesvirus
",1岁以下,19-month-old
"Cicetid_herpesvirus_34872611:Cicetid herpesvirus
",17-65岁,60
"Cicetid_herpesvirus_34992844:Cicetid herpesvirus
",none,recipients
"Cingilia_caternaria_NPV_33228818:Cingilia caternaria NPV
",>65岁,194
"Cingilia_caternaria_NPV_33236268:Cingilia caternaria NPV
",17-65岁,50
"Cingilia_caternaria_NPV_33270790:Cingilia caternaria NPV
",none,all
"Cingilia_caternaria_NPV_33296409:Cingilia caternaria NPV
",>65岁,65
"Cingilia_caternaria_NPV_33335520:Cingilia caternaria NPV
",>65岁,72
"Cingilia_caternaria_NPV_33449185:Cingilia caternaria NPV
",17-65岁,49.2 +- 17
"Cingilia_caternaria_NPV_33761733:Cingilia caternaria NPV
",>65岁,136 moderate patients and 83
"Cingilia_caternaria_NPV_33788910:Cingilia caternaria NPV
",>65岁,73
"Cingilia_caternaria_NPV_33814777:Cingilia caternaria NPV
",17-65岁,60
"Cingilia_caternaria_NPV_33871709:Cingilia caternaria NPV
",none,administrative
"Cingilia_caternaria_NPV_33872057:Cingilia caternaria NPV
",>65岁,140
"Cingilia_caternaria_NPV_33873077:Cingilia caternaria NPV
",>65岁,78
"Cingilia_caternaria_NPV_34063861:Cingilia caternaria NPV
",>65岁,101
"Cingilia_caternaria_NPV_34093013:Cingilia caternaria NPV
",none,ward
"Cingilia_caternaria_NPV_34096323:Cingilia caternaria NPV
",17-65岁,60
"Cingilia_caternaria_NPV_34106017:Cingilia caternaria NPV
",>65岁,76
"Cingilia_caternaria_NPV_34130118:Cingilia caternaria NPV
",17-65岁,56
"Cingilia_caternaria_NPV_34218365:Cingilia caternaria NPV
",17-65岁,58
"Cingilia_caternaria_NPV_34243776:Cingilia caternaria NPV
",>65岁,older
"Cingilia_caternaria_NPV_34249808:Cingilia caternaria NPV
",17-65岁,47
"Cingilia_caternaria_NPV_34384896:Cingilia caternaria NPV
",17-65岁,adults
"Cingilia_caternaria_NPV_34493222:Cingilia caternaria NPV
",>65岁,2020
"Cingilia_caternaria_NPV_34675676:Cingilia caternaria NPV
",17-65岁,59
"Cingilia_caternaria_NPV_34745031:Cingilia caternaria NPV
",>65岁,from HIV and non-HIV patients during 2013-2019
"CoAr-1071_virus_34985120:CoAr-1071 virus
",none,.
"CoAr-1071_virus_34987501:CoAr-1071 virus
",1-17岁,eight-year old
"CoAr-1071_virus_34987943:CoAr-1071 virus
",1-17岁,eight-year-old
"CoAr-1071_virus_34988242:CoAr-1071 virus
",17-65岁,40-year-old
"CoAr-1071_virus_34990342:CoAr-1071 virus
",none,contagion and costs associated to medical care. This review of the principal dermatologic conditions during confinement
"CoAr-1071_virus_34990346:CoAr-1071 virus
",17-65岁,40
"CoAr-1071_virus_34992320:CoAr-1071 virus
",17-65岁,59-year-old patient were approximately half those of a 41-year-old
"CoAr-1071_virus_34992722:CoAr-1071 virus
",none,care
"CoAr-1071_virus_34992881:CoAr-1071 virus
",none,onboarding
"CoAr-1071_virus_34993157:CoAr-1071 virus
",1-17岁,six
"CoAr-3624_virus_34985120:CoAr-3624 virus
",none,.
"CoAr-3624_virus_34987501:CoAr-3624 virus
",1-17岁,eight-year old
"CoAr-3624_virus_34987943:CoAr-3624 virus
",1-17岁,eight-year-old
"CoAr-3624_virus_34988242:CoAr-3624 virus
",17-65岁,40-year-old
"CoAr-3624_virus_34990342:CoAr-3624 virus
",none,contagion and costs associated to medical care. This review of the principal dermatologic conditions during confinement
"CoAr-3624_virus_34990346:CoAr-3624 virus
",17-65岁,40
"CoAr-3624_virus_34992320:CoAr-3624 virus
",17-65岁,59-year-old patient were approximately half those of a 41-year-old
"CoAr-3624_virus_34992722:CoAr-3624 virus
",none,care
"CoAr-3624_virus_34992881:CoAr-3624 virus
",none,onboarding
"CoAr-3624_virus_34993157:CoAr-3624 virus
",1-17岁,six
"CoAr-3627_virus_34985120:CoAr-3627 virus
",none,.
"CoAr-3627_virus_34987501:CoAr-3627 virus
",1-17岁,eight-year old
"CoAr-3627_virus_34987943:CoAr-3627 virus
",1-17岁,eight-year-old
"CoAr-3627_virus_34988242:CoAr-3627 virus
",17-65岁,40-year-old
"CoAr-3627_virus_34990342:CoAr-3627 virus
",none,contagion and costs associated to medical care. This review of the principal dermatologic conditions during confinement
"CoAr-3627_virus_34990346:CoAr-3627 virus
",17-65岁,40
"CoAr-3627_virus_34992320:CoAr-3627 virus
",17-65岁,59-year-old patient were approximately half those of a 41-year-old
"CoAr-3627_virus_34992722:CoAr-3627 virus
",none,care
"CoAr-3627_virus_34992881:CoAr-3627 virus
",none,onboarding
"CoAr-3627_virus_34993157:CoAr-3627 virus
",1-17岁,six
"Coital_exanthema_virus_186003:Coital exanthema virus
",1-17岁,6
"ColAn-57389_virus_34985120:ColAn-57389 virus
",none,.
"ColAn-57389_virus_34987501:ColAn-57389 virus
",1-17岁,eight-year old
"ColAn-57389_virus_34987943:ColAn-57389 virus
",1-17岁,eight-year-old
"ColAn-57389_virus_34988242:ColAn-57389 virus
",17-65岁,40-year-old
"ColAn-57389_virus_34990342:ColAn-57389 virus
",none,confinement
"ColAn-57389_virus_34990346:ColAn-57389 virus
",17-65岁,40
"ColAn-57389_virus_34992320:ColAn-57389 virus
",17-65岁,59-year-old
"ColAn-57389_virus_34992722:ColAn-57389 virus
",none,care
"ColAn-57389_virus_34992881:ColAn-57389 virus
",none,onboarding
"ColAn-57389_virus_34993157:ColAn-57389 virus
",1-17岁,six
"Coliphage_2D-13_4276158:Coliphage 2D-13
",1-17岁,young children
"Coliphage_2D-13_8191867:Coliphage 2D-13
",none,patients
"Coliphage_fX174_4276158:Coliphage fX174
",1-17岁,young children
"Coliphage_ZG-2_4276158:Coliphage ZG-2
",1-17岁,young children
"Colorado_tick_fever_virus_34458071:Colorado tick fever virus
",none,many
"Colorado_tick_fever_virus_6549506:Colorado tick fever virus
",none,discussed
"Columbia_SK_virus_27610028:Columbia SK virus
",1-17岁,7
"Connecticut_virus_34851963:Connecticut virus
",none,comorbidities
"Contagious_ecthyma_virus_16413694:Contagious ecthyma virus
",17-65岁,64-year-old
"Contagious_ecthyma_virus_25236387:Contagious ecthyma virus
",17-65岁,38
"Contagious_ecthyma_virus_32167180:Contagious ecthyma virus
",none,this
"Contagious_ecthyma_virus_32496247:Contagious ecthyma virus
",none,earliest
"Contagious_ecthyma_virus_32510005:Contagious ecthyma virus
",none,genomics
"Contagious_ecthyma_virus_32598306:Contagious ecthyma virus
",17-65岁,60
"Contagious_ecthyma_virus_32642757:Contagious ecthyma virus
",none,Guangzhou
"Contagious_ecthyma_virus_32866168:Contagious ecthyma virus
",17-65岁,60
"Contagious_ecthyma_virus_33031898:Contagious ecthyma virus
",none,Chin
"Contagious_ecthyma_virus_33116089:Contagious ecthyma virus
",17-65岁,40
"Contagious_ecthyma_virus_33719829:Contagious ecthyma virus
",>65岁,188
"Contagious_ecthyma_virus_34506444:Contagious ecthyma virus
",17-65岁,15 to 40
"Contagious_ecthyma_virus_34780358:Contagious ecthyma virus
",17-65岁,19-40
"Contagious_pustular_dermatitis_virus_16413694:Contagious pustular dermatitis virus
",17-65岁,64-year-old
"Contagious_pustular_dermatitis_virus_25236387:Contagious pustular dermatitis virus
",17-65岁,38
"Contagious_pustular_dermatitis_virus_32167180:Contagious pustular dermatitis virus
",none,this
"Contagious_pustular_dermatitis_virus_32496247:Contagious pustular dermatitis virus
",none,earliest
"Contagious_pustular_dermatitis_virus_32510005:Contagious pustular dermatitis virus
",none,approach
"Contagious_pustular_dermatitis_virus_32598306:Contagious pustular dermatitis virus
",17-65岁,60
"Contagious_pustular_dermatitis_virus_32866168:Contagious pustular dermatitis virus
",17-65岁,60
"Contagious_pustular_dermatitis_virus_33031898:Contagious pustular dermatitis virus
",none,Chin
"Contagious_pustular_dermatitis_virus_33116089:Contagious pustular dermatitis virus
",17-65岁,40
"Contagious_pustular_dermatitis_virus_34506444:Contagious pustular dermatitis virus
",17-65岁,15 to 40
"Contagious_pustular_dermatitis_virus_34780358:Contagious pustular dermatitis virus
",17-65岁,19-40
"Corfu_virus_33827103:Corfu virus
",>65岁,66
"Coryneforrns_phage_MT_20167006:Coryneforrns phage MT
",17-65岁,40
"Coryneforrns_phage_MT_22192614:Coryneforrns phage MT
",none,descriptions
"Coryneforrns_phage_MT_22493030:Coryneforrns phage MT
",none,the
"Coryneforrns_phage_MT_28338911:Coryneforrns phage MT
",none,increasingly aged
"Coryneforrns_phage_MT_30165641:Coryneforrns phage MT
",17-65岁,30
"Coryneforrns_phage_MT_31207123:Coryneforrns phage MT
",none,third
"Coryneforrns_phage_MT_32820711:Coryneforrns phage MT
",none,ray
"Coryneforrns_phage_MT_33270485:Coryneforrns phage MT
",none,mechanical
"Coryneforrns_phage_MT_33434411:Coryneforrns phage MT
",none,consequences for the efficacy of phage therapy in patient
"Coryneforrns_phage_MT_4276158:Coryneforrns phage MT
",1-17岁,young
"Cosmotriche_podatoria_NPV_33228818:Cosmotriche podatoria NPV
",17-65岁,adult
"Cosmotriche_podatoria_NPV_33236268:Cosmotriche podatoria NPV
",17-65岁,50
"Cosmotriche_podatoria_NPV_33270790:Cosmotriche podatoria NPV
",none,age
"Cosmotriche_podatoria_NPV_33296132:Cosmotriche podatoria NPV
",>65岁,257
"Cosmotriche_podatoria_NPV_33296409:Cosmotriche podatoria NPV
",>65岁,65
"Cosmotriche_podatoria_NPV_33335520:Cosmotriche podatoria NPV
",>65岁,72
"Cosmotriche_podatoria_NPV_33449185:Cosmotriche podatoria NPV
",17-65岁,49.2 +- 17
"Cosmotriche_podatoria_NPV_33509388:Cosmotriche podatoria NPV
",17-65岁,18
"Cosmotriche_podatoria_NPV_33761733:Cosmotriche podatoria NPV
",>65岁,136 moderate patients and 83
"Cosmotriche_podatoria_NPV_33788910:Cosmotriche podatoria NPV
",>65岁,73
"Cosmotriche_podatoria_NPV_33793600:Cosmotriche podatoria NPV
",>65岁,Older age
"Cosmotriche_podatoria_NPV_33814777:Cosmotriche podatoria NPV
",17-65岁,60
"Cosmotriche_podatoria_NPV_33852356:Cosmotriche podatoria NPV
",>65岁,72
"Cosmotriche_podatoria_NPV_33871709:Cosmotriche podatoria NPV
",none,administrative
"Cosmotriche_podatoria_NPV_33872057:Cosmotriche podatoria NPV
",>65岁,140
"Cosmotriche_podatoria_NPV_33873077:Cosmotriche podatoria NPV
",>65岁,78
"Cosmotriche_podatoria_NPV_34063861:Cosmotriche podatoria NPV
",>65岁,101
"Cosmotriche_podatoria_NPV_34093013:Cosmotriche podatoria NPV
",none,ward
"Cosmotriche_podatoria_NPV_34096323:Cosmotriche podatoria NPV
",17-65岁,60
"Cosmotriche_podatoria_NPV_34106017:Cosmotriche podatoria NPV
",>65岁,76
"Cosmotriche_podatoria_NPV_34130118:Cosmotriche podatoria NPV
",17-65岁,56
"Cosmotriche_podatoria_NPV_34146235:Cosmotriche podatoria NPV
",1-17岁,adult patients with COVID-19 admitted to one of thirteen Northwell
"Cosmotriche_podatoria_NPV_34218365:Cosmotriche podatoria NPV
",17-65岁,58
"Cosmotriche_podatoria_NPV_34243776:Cosmotriche podatoria NPV
",>65岁,older
"Cosmotriche_podatoria_NPV_34249808:Cosmotriche podatoria NPV
",17-65岁,47
"Cosmotriche_podatoria_NPV_34384896:Cosmotriche podatoria NPV
",17-65岁,adults
"Cosmotriche_podatoria_NPV_34493222:Cosmotriche podatoria NPV
",none,.
"Cosmotriche_podatoria_NPV_34675676:Cosmotriche podatoria NPV
",17-65岁,59
"Cosmotriche_podatoria_NPV_34745031:Cosmotriche podatoria NPV
",>65岁,from HIV and non-HIV patients during 2013-2019
"Cottontail_herpesvirus_1335521:Cottontail herpesvirus
",none,One
"Cotton_anthocyanosis_virus_33219827:Cotton anthocyanosis virus
",>65岁,80
"Cotton_anthocyanosis_virus_33284032:Cotton anthocyanosis virus
",17-65岁,50-year-old
"Cotton_anthocyanosis_virus_33451352:Cotton anthocyanosis virus
",17-65岁,42-year-old
"Cotton_anthocyanosis_virus_33547182:Cotton anthocyanosis virus
",>65岁,older
"Cotton_anthocyanosis_virus_33601042:Cotton anthocyanosis virus
",none,ages
"Cotton_anthocyanosis_virus_34187994:Cotton anthocyanosis virus
",17-65岁,adults
"Cotton_anthocyanosis_virus_34379290:Cotton anthocyanosis virus
",none,apparently
"Cotton_anthocyanosis_virus_34464544:Cotton anthocyanosis virus
",1-17岁,seven
"Cotton_anthocyanosis_virus_34583122:Cotton anthocyanosis virus
",>65岁,65
"Cotton_anthocyanosis_virus_34605447:Cotton anthocyanosis virus
",none,"uveitis,"
"Cotton_anthocyanosis_virus_34843823:Cotton anthocyanosis virus
",none,ABC
"Cotton_anthocyanosis_virus_34849336:Cotton anthocyanosis virus
",none,living
"Cotton_anthocyanosis_virus_34919080:Cotton anthocyanosis virus
",>65岁,104
"Cowpox_virus_10405311:Cowpox virus
",none,domestic
"Cowpox_virus_17435100:Cowpox virus
",none,a domestic cat
"Cowpox_virus_19769672:Cowpox virus
",none,cat
"Cowpox_virus_25972246:Cowpox virus
",none,cats
"Crimean-Congo_hemorrhagic_fever_virus_29450871:Crimean-Congo hemorrhagic fever virus
",17-65岁,60
"Crimean-Congo_hemorrhagic_fever_virus_33316200:Crimean-Congo hemorrhagic fever virus
",none,threats
"Crimean-Congo_hemorrhagic_fever_virus_33849418:Crimean-Congo hemorrhagic fever virus
",>65岁,942
"Crimean-Congo_hemorrhagic_fever_virus_34416809:Crimean-Congo hemorrhagic fever virus
",none,thirtyfive years old
"Crimean-Congo_hemorrhagic_fever_virus_34531189:Crimean-Congo hemorrhagic fever virus
",17-65岁,58
"Dabakala_virus_34985120:Dabakala virus
",none,IHCA
"Dabakala_virus_34987501:Dabakala virus
",1-17岁,eight-year old
"Dabakala_virus_34987943:Dabakala virus
",1-17岁,eight-year-old
"Dabakala_virus_34988242:Dabakala virus
",17-65岁,40-year-old
"Dabakala_virus_34990342:Dabakala virus
",none,confinement
"Dabakala_virus_34990346:Dabakala virus
",17-65岁,40
"Dabakala_virus_34992722:Dabakala virus
",none,care
"Dabakala_virus_34992881:Dabakala virus
",none,onboarding
"Dabakala_virus_34993157:Dabakala virus
",1-17岁,six
"DakArk_7292_virus_32640030:DakArk 7292 virus
",17-65岁,25
"Deer_papillomavirus_3005617:Deer papillomavirus
",none,European el
"Deileptenia_ribeata_NPV_33228818:Deileptenia ribeata NPV
",17-65岁,adult
"Deileptenia_ribeata_NPV_33236268:Deileptenia ribeata NPV
",17-65岁,50
"Deileptenia_ribeata_NPV_33270790:Deileptenia ribeata NPV
",none,age
"Deileptenia_ribeata_NPV_33296132:Deileptenia ribeata NPV
",>65岁,257
"Deileptenia_ribeata_NPV_33296409:Deileptenia ribeata NPV
",>65岁,65
"Deileptenia_ribeata_NPV_33335520:Deileptenia ribeata NPV
",>65岁,72
"Deileptenia_ribeata_NPV_33449185:Deileptenia ribeata NPV
",17-65岁,49.2 +- 17
"Deileptenia_ribeata_NPV_33509388:Deileptenia ribeata NPV
",17-65岁,18
"Deileptenia_ribeata_NPV_33761733:Deileptenia ribeata NPV
",>65岁,136 moderate patients and 83
"Deileptenia_ribeata_NPV_33788910:Deileptenia ribeata NPV
",>65岁,73
"Deileptenia_ribeata_NPV_33793600:Deileptenia ribeata NPV
",>65岁,Older age
"Deileptenia_ribeata_NPV_33814777:Deileptenia ribeata NPV
",17-65岁,60
"Deileptenia_ribeata_NPV_33825844:Deileptenia ribeata NPV
",>65岁,83
"Deileptenia_ribeata_NPV_33852356:Deileptenia ribeata NPV
",>65岁,72
"Deileptenia_ribeata_NPV_33871709:Deileptenia ribeata NPV
",none,administrative
"Deileptenia_ribeata_NPV_33872057:Deileptenia ribeata NPV
",>65岁,140
"Deileptenia_ribeata_NPV_33873077:Deileptenia ribeata NPV
",>65岁,78
"Deileptenia_ribeata_NPV_34063861:Deileptenia ribeata NPV
",>65岁,101
"Deileptenia_ribeata_NPV_34093013:Deileptenia ribeata NPV
",none,ward
"Deileptenia_ribeata_NPV_34096323:Deileptenia ribeata NPV
",17-65岁,60
"Deileptenia_ribeata_NPV_34106017:Deileptenia ribeata NPV
",>65岁,76
"Deileptenia_ribeata_NPV_34130118:Deileptenia ribeata NPV
",17-65岁,56
"Deileptenia_ribeata_NPV_34146235:Deileptenia ribeata NPV
",1-17岁,adult patients with COVID-19 admitted to one of thirteen Northwell
"Deileptenia_ribeata_NPV_34218365:Deileptenia ribeata NPV
",17-65岁,58
"Deileptenia_ribeata_NPV_34243776:Deileptenia ribeata NPV
",>65岁,older
"Deileptenia_ribeata_NPV_34249808:Deileptenia ribeata NPV
",17-65岁,47
"Deileptenia_ribeata_NPV_34384896:Deileptenia ribeata NPV
",17-65岁,adults
"Deileptenia_ribeata_NPV_34493222:Deileptenia ribeata NPV
",none,.
"Deileptenia_ribeata_NPV_34675676:Deileptenia ribeata NPV
",17-65岁,59
"Deileptenia_ribeata_NPV_34745031:Deileptenia ribeata NPV
",>65岁,from HIV and non-HIV patients during 2013-2019
"Dengue_virus_1_11289013:Dengue virus 1
",1-17岁,14
"Dengue_virus_1_20420502:Dengue virus 1
",1-17岁,2-14
"Dengue_virus_1_2042704:Dengue virus 1
",17-65岁,10-29-year-old
"Dengue_virus_1_22043762:Dengue virus 1
",1岁以下,29-day old
"Dengue_virus_1_22232450:Dengue virus 1
",>65岁,1-80
"Dengue_virus_1_22370846:Dengue virus 1
",17-65岁,28-year-old
"Dengue_virus_1_23593267:Dengue virus 1
",1-17岁,2
"Dengue_virus_1_26821179:Dengue virus 1
",17-65岁,2-59
"Dengue_virus_1_27473947:Dengue virus 1
",>65岁,36 years (range 16-78
"Dengue_virus_1_32896654:Dengue virus 1
",17-65岁,adults
"Dengue_virus_1_33406122:Dengue virus 1
",none,patients
"Dengue_virus_1_33771221:Dengue virus 1
",17-65岁,38-year old
"Dengue_virus_1_33956939:Dengue virus 1
",17-65岁,60
"Dengue_virus_1_34094622:Dengue virus 1
",17-65岁,62
"Dengue_virus_1_34172701:Dengue virus 1
",1-17岁,a child
"Dengue_virus_1_34186213:Dengue virus 1
",none,their epidemiological but clinical interaction in terms of outcomes need further assessment in future studies in the region
"Dengue_virus_1_34340682:Dengue virus 1
",1-17岁,six-year old
"Dengue_virus_1_34436792:Dengue virus 1
",none,ecological
"Dengue_virus_1_34804700:Dengue virus 1
",17-65岁,62-year-old
"Dengue_virus_2_33259817:Dengue virus 2
",>65岁,178
"Dengue_virus_2_33347804:Dengue virus 2
",none,these
"Dengue_virus_2_33406122:Dengue virus 2
",none,patients
